RT [min],Type,Width [min],Area,Height,Area%,Name,Data file,Sample name,Sample amount,Instrument,Injection date,Acq. method,Analysis method,Last changed,Signal,Sample type,Location,Injection,Injection volume,Acq. operator
1.51,BB  ,3.0299,55230.046,2747.461,96.8653,,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 10.sirslt\PD-007 - Q 10.dx,PD-007 - Q 10,0.000,1100LC,2019-08-26 14:46:04+01:00,PD - TEMPO Gradient.amx,*GC_LC Area Percent_DefaultMethod.pmx,2019-06-19 10:57:01+01:00,"VWD1A,Wavelength=210 nm",Sample,30,1 of 1,2.000,SYSTEM
5.116,BB  ,0.8348,221.6965,11.9836,0.3888,,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 10.sirslt\PD-007 - Q 10.dx,PD-007 - Q 10,0.000,1100LC,2019-08-26 14:46:04+01:00,PD - TEMPO Gradient.amx,*GC_LC Area Percent_DefaultMethod.pmx,2019-06-19 10:57:01+01:00,"VWD1A,Wavelength=210 nm",Sample,30,1 of 1,2.000,SYSTEM
7.096,BB  ,1.0639,1565.6123,160.8382,2.7459,,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 10.sirslt\PD-007 - Q 10.dx,PD-007 - Q 10,0.000,1100LC,2019-08-26 14:46:04+01:00,PD - TEMPO Gradient.amx,*GC_LC Area Percent_DefaultMethod.pmx,2019-06-19 10:57:01+01:00,"VWD1A,Wavelength=210 nm",Sample,30,1 of 1,2.000,SYSTEM
1.519,BV  ,1.4322,55390.1695,2745.5606,96.8723,,,,,,,,,,,,,,,
2.49,VB  ,1.7424,239.5293,6.5397,0.4189,,,,,,,,,,,,,,,
5.006,BB  ,0.9027,1278.9547,77.5978,2.2368,,,,,,,,,,,,,,,
7.042,BB  ,0.4572,269.8623,28.5968,0.472,,,,,,,,,,,,,,,
1.515,BB  ,3.1123,55654.1125,2748.0588,97.2287,,,,,,,,,,,,,,,
5.038,BB  ,0.8639,1095.864,63.6495,1.9145,,,,,,,,,,,,,,,
7.102,BB  ,0.5314,490.4553,52.4376,0.8568,,,,,,,,,,,,,,,
1.522,BB  ,3.4963,55742.8181,2750.6365,97.0194,,,,,,,,,,,,,,,
