Data file:,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 5.sirslt\PD-007 - Q 5.dx,,,,,
Sample name:,PD-007 - Q 5,,,,,
Description:,,,,,,
Sample amount:,0,Sample type:,Sample,,,
Instrument:,1100LC,Location:,15,,,
Injection date:,2019-08-26 11:56:06+01:00,Injection:,1 of 1,,,
Acq. method:,PD - TEMPO Gradient.amx,Injection volume:,2,,,
Analysis method:,*GC_LC Area Percent_DefaultMethod.pmx,Acq. operator:,SYSTEM,,,
Last changed:,2019-06-19 10:57:01+01:00,,,,,
Signal:,"VWD1A,Wavelength=210 nm",,,,,
RT [min],Type,Width [min],Area,Height,Area%,Name
1.539,BB  ,3.0406,56184.1926,2750.6822,97.0353,
6.08,BB  ,0.859,60,36.8522,1.1084,
7.094,BB  ,0.5965,1074.8124,112.933,1.8563,
,,Sum,57900.7953,,,
