Relative Time	Peak at 1100	Peak at 1125	Peak at 1650	Annotations
00:00:26	-0.00650828	-0.000478675	-0.00326542	
00:00:56	-0.00150253	-0.000671118	-0.00130034	
00:01:26	-0.00357738	0.003906	-0.00413954	
00:01:56	-0.00454904	-0.00197021	-0.000962508	HPLC Start 
00:02:26	-0.00410889	0.00682553	-0.00380661	
00:02:56	-0.000789581	0.000975318	0.000212113	
00:03:26	-0.00429212	0.00202174	0.00644445	
00:03:56	-0.00860247	0.00185038	0.00518231	
00:04:26	-0.00103946	-0.00117003	0.00715537	
00:04:56	-0.00211611	-0.001819	-0.006781	
00:05:26	-0.00425562	-0.00104794	-0.0016822	
00:05:56	-0.00033221	-0.00267355	-0.00517509	HPLC Running 
00:06:26	-0.00569116	-0.00247752	-0.00930199	
00:06:56	-0.0042917	0.0015244	-0.0047881	
00:07:26	-0.00480116	7.44888e-05	0.000985021	
00:07:56	0.000542226	-0.00359282	-0.000305438	
00:08:26	-0.00321243	0.000170741	-0.00836973	
00:08:55	-0.00476459	0.00077517	0.00300142	
00:09:26	-0.0094413	0.000498512	-0.00551329	
00:09:56	-0.00217671	0.00210369	-0.00805223	
00:10:26	-3.23176e-06	-0.000625459	0.00633033	
00:10:56	-0.00580872	5.01178e-06	0.0047632	
00:11:26	-0.00263865	0.00295216	-0.00196629	
00:11:56	-0.00425369	-0.0038954	-0.00821553	
00:12:26	-0.00370724	-0.00076489	0.011172	
00:12:56	-0.00125699	-0.0006064	0.00558775	
00:13:26	-0.0127127	-0.00261736	0.00548663	
00:13:56	-0.00490977	0.00101516	-0.00281052	
00:14:26	-0.00606214	0.000632552	-0.00169733	
00:14:56	-0.00764151	-0.000351437	-0.0104498	
00:15:26	-0.00445707	-0.00136893	-0.00245173	
00:15:56	-0.00975534	-0.0038392	-0.00220497	
00:16:26	-0.00315905	0.000523907	-0.00262424	
00:16:56	-0.00824782	-0.00374616	-0.0143595	
00:17:26	-0.00525968	-0.000301218	-0.00566853	
00:17:56	-0.00723208	0.00173931	-0.00916853	
00:18:26	-0.0132403	0.000956084	0.00254933	
00:18:56	-0.00906788	0.00246842	0.00514347	
00:19:26	-0.00374135	-0.00109889	-0.0113915	
00:19:56	-0.00816237	-0.00128995	-0.0117337	
00:20:26	-0.00724051	-0.00289354	-0.0107901	
00:20:56	-0.00285025	-0.000956714	0.00673771	
00:21:26	0.00896004	0.022771	0.00652798	
00:21:56	0.0677116	0.130283	0.12613	
00:22:26	0.0971541	0.161447	0.144435	
00:22:56	0.0297992	0.0565015	0.0310766	
00:23:26	0.000411572	0.00685732	-0.0104963	
00:23:56	-0.00780398	-3.49989e-06	-0.00215013	
00:24:26	-0.00250133	0.00019171	-0.00407398	
00:24:56	-0.0114997	0.000810793	-0.00478148	
00:25:26	-0.00612589	0.00118356	-0.00634694	
00:25:56	-0.00504874	-0.00187299	-0.00597703	
00:26:26	-0.00764022	-9.00258e-05	-0.00889407	
00:26:56	-0.00752068	-0.00218788	0.002834	
00:27:26	-0.00764281	-0.000943512	-0.00904526	
00:27:56	-0.00748244	-0.0010156	-0.0122395	
00:28:26	-0.0118623	-0.00179966	-0.000342207	
00:28:56	-0.00529839	-0.0052221	-0.000656986	
00:29:26	-0.00682015	0.00142424	0.000977648	
00:29:56	-0.00756346	0.00072057	-0.0145202	
00:30:26	-0.00480801	0.000372504	-0.011011	
00:30:56	-0.00669131	-0.000767212	0.0107739	
00:31:26	-0.00786039	0.00157269	0.00063711	
00:31:56	-0.00763207	-0.00525734	-0.0076811	
00:32:26	-0.00756695	0.000299392	-0.0111183	
00:32:56	-0.00824433	-0.000700344	-0.00412386	
00:33:26	-0.00480593	0.000501768	-0.00825806	
00:33:56	-0.0152624	0.00414242	-0.00763429	
00:34:26	-0.0126964	-0.00352923	-0.00295041	
00:34:56	-0.00985861	0.00409518	0.00226662	
00:35:26	-0.00868435	-0.00303412	-0.00480528	
00:35:56	-0.00904304	0.00167926	-0.0111541	
00:36:26	-0.0120851	-8.44807e-05	-0.00872935	
00:36:56	-0.0101016	0.00242737	-0.0138006	
00:37:26	-0.00502974	2.90443e-05	0.004908	
00:37:56	-0.0119132	-0.000619638	-0.0108514	
00:38:26	0.00223382	0.0148593	0.000401419	
00:38:56	0.0518222	0.103787	0.0432537	
00:39:26	0.0827072	0.144726	0.0931159	
00:39:56	0.0266278	0.0591254	0.0347104	
00:40:26	-0.00312437	0.00583325	-0.00367028	
00:40:56	-0.00990144	0.00243892	-0.000110206	
00:41:26	-0.00775933	0.00248127	-0.00834121	
00:41:56	-0.0076916	-9.73483e-05	0.00747937	
00:42:26	-0.0097873	0.000825456	-0.00352641	
00:42:56	-0.00995215	-0.00335529	-0.00451706	
00:43:26	-0.0138463	0.00231202	-0.000141554	
00:43:56	-0.0077746	0.0015404	-0.000129629	
00:44:26	-0.00984058	-5.73118e-05	-0.00426521	
00:44:56	-0.010913	-0.00242148	0.0034441	
00:45:26	-0.0116662	8.21924e-05	0.00544495	
00:45:56	-0.0116018	-0.000398258	0.000800499	
00:46:26	-0.0116062	0.000619923	-0.0133239	
00:46:56	-0.00274169	-0.000736799	-0.00893662	
00:47:26	-0.00564338	0.000734229	0.00437511	
00:47:55	-0.0105729	0.000216356	-0.00664406	
00:48:26	-0.00668779	0.00147584	0.00987735	
00:48:56	-0.0046296	-0.000389365	-0.00445847	
00:49:26	-0.00855833	-0.000282418	-0.00109085	
00:49:56	-0.0117652	-0.00267064	-0.00364095	
00:50:26	-0.0103031	-0.00189291	-0.0216383	
00:50:56	-0.00772213	-0.000891298	-0.00880221	
00:51:26	-0.0141121	9.24102e-05	0.0107265	
00:51:56	-0.00736364	-0.00241421	-0.000772735	
00:52:26	-0.00698611	8.6447e-05	-0.0123995	
00:52:56	-0.00633106	0.00140499	0.00193838	
00:53:26	-0.0106935	-0.000386888	-0.00489708	
00:53:56	-0.0107128	-0.00125505	-0.00951551	
00:54:26	-0.00814448	-0.00333284	-0.0109653	
00:54:56	-0.0161094	0.00130626	0.00272636	
00:55:26	-0.0104741	0.00408599	-0.0103168	
00:55:56	0.00873222	0.037346	-0.00218907	
00:56:26	0.0701527	0.125427	0.0627295	
00:56:56	0.0568182	0.100613	0.0559292	
00:57:26	0.00881178	0.026093	0.0106434	
00:57:56	-0.00646817	0.00374023	0.00140927	
00:58:26	-0.000942352	0.00079201	-0.00104206	
00:58:56	-0.00827421	0.00146804	0.0079583	
00:59:26	-0.00903688	-3.21825e-05	0.00266579	
00:59:55	-0.00884393	-0.000134137	-0.0166369	
01:00:26	-0.0122609	-0.000793426	-0.0037218	
01:00:56	-0.0099292	0.0014163	0.00289818	
01:01:26	-0.00429516	-0.00334188	-0.0136293	
01:01:56	-0.0148361	-0.000832145	-0.013351	
01:02:26	-0.0114178	0.00239581	-0.00195226	
01:02:56	-0.00288792	0.0013125	0.00163781	
01:03:26	-0.0114543	-0.00119403	-0.0089319	
01:03:56	-0.0110621	-0.000973622	0.00276859	
01:04:26	-0.00425847	0.000485613	-0.00760785	
01:04:56	-0.00607491	-0.00199437	-0.00833783	
01:05:26	-0.0120206	-0.000656451	-0.00644428	
01:05:56	-0.0104313	0.00170158	0.00683369	
01:06:26	-0.0124073	-0.000902606	-0.0078718	
01:06:56	-0.0101819	-0.00198938	-0.00899712	
01:07:26	-0.00495642	-0.00138045	0.00188974	
01:07:56	-0.00887696	-0.000357887	-0.0016066	
01:08:26	-0.0111645	-0.00243799	0.000481369	
01:08:56	-0.0101592	-0.00136208	-0.00704071	
01:09:26	-0.0113357	-0.000953415	-0.00364613	
01:09:56	-0.0101884	-2.95975e-05	-0.00860233	
01:10:26	-0.00871241	-0.00208307	0.00753454	
01:10:56	-0.00601677	-8.32336e-06	0.00949174	
01:11:26	-0.0109412	0.00123406	-0.010783	
01:11:56	-0.00689429	-0.000237444	-0.00371025	
01:12:26	-0.0107794	0.00161921	-0.00838384	
01:12:56	0.0156241	0.0370196	0.0134655	
01:13:26	0.0647126	0.109552	0.0708229	
01:13:56	0.0532025	0.0834541	0.0604224	
01:14:26	0.00375095	0.0190681	-0.0108233	
01:14:56	-0.00865385	0.00286064	0.00487232	
01:15:26	-0.00680608	-0.00105869	0.00168016	
01:15:56	-0.00882976	-0.00347895	-0.000501263	
01:16:26	-0.00536057	-0.000830943	-0.00175806	
01:16:56	-0.00755252	-0.00121071	-0.0014455	
01:17:26	-0.00907837	-0.00116257	-0.00264663	
01:17:56	-0.00876668	-0.00303242	0.00204634	
01:18:26	-0.00159064	-0.00223769	0.00129528	
01:18:56	-0.0133443	-0.00300953	-0.000850244	
