Relative Time	Peak at 829 cm-1	Peak at 1216 cm-1	Peak at 1714 cm-1	Peak at 1753 cm-1
00:00:26	0.000527736	-0.0016649	0.0118591	0.00990613
00:00:56	9.17864e-06	-0.00188005	0.0166088	0.0181784
00:01:26	-0.00347412	-0.00282709	0.0154681	0.0212004
00:01:56	0.00194646	-0.00441462	0.0168271	0.0135615
00:02:26	0.000174023	-0.00218103	0.0173912	0.015581
00:02:56	-0.00079287	-0.00339487	0.0181308	0.0204069
00:03:26	0.000616523	-0.0050987	0.0140708	0.0197867
00:03:56	-0.00100427	-0.0031657	0.0230878	0.0315582
00:04:26	-0.00354932	-0.00256099	0.0161179	0.0268328
00:04:56	-0.00403394	-0.00280097	0.018633	0.0368218
00:05:26	-0.000326403	-0.00384806	0.0168531	0.031766
00:05:56	7.84268e-05	-0.00463575	0.0216817	0.0302619
00:06:25	0.000173192	-0.00461581	0.0197549	0.0213879
00:06:55	-0.00162093	-0.00456414	0.020482	0.026247
00:07:26	-0.00171141	-0.00327348	0.0187305	0.0382979
00:07:56	0.00126891	-0.00475543	0.0189989	0.030701
00:08:26	-0.00124624	-0.00536408	0.0234733	0.0283288
00:08:56	0.00273494	0.0564816	0.0414911	0.0811039
00:09:26	0.061262	0.813868	0.34032	0.617714
00:09:56	0.189665	2.0249	0.973705	1.42822
00:10:26	0.167979	1.69826	0.852155	1.19161
00:10:56	0.10033	1.0469	0.533036	0.756801
00:11:26	0.0452397	0.488625	0.263834	0.384652
00:11:56	0.0211259	0.260231	0.1496	0.231798
00:12:26	0.0178386	0.161687	0.0944922	0.150413
00:12:54	0.00213833	0.0425158	0.0458828	0.0633144
00:13:25	-0.00058496	0.00331359	0.0307667	0.042387
00:13:56	0.000216866	-0.00672138	0.0319105	0.0298775
00:14:26	0.00129519	-0.00600173	0.0217902	0.046768
00:14:56	0.000591967	0.0921721	0.0155713	0.103532
00:15:26	0.0465388	0.807759	0.150096	0.579838
00:15:56	0.124537	1.64942	0.473834	1.12169
00:16:26	0.104159	1.37465	0.425891	0.926783
00:16:56	0.0690328	0.967622	0.301118	0.648134
00:17:26	0.0441877	0.658926	0.199982	0.470886
00:17:56	0.0196066	0.388796	0.120484	0.278658
00:18:24	0.00911119	0.226749	0.0708839	0.180689
00:18:55	0.00426296	0.128756	0.0494173	0.121688
00:19:26	7.50478e-05	0.0358975	0.0270606	0.0579737
00:19:56	-0.000510502	0.000975171	0.0220551	0.0477106
00:20:25	0.00232543	0.00690883	0.0227038	0.0444985
00:20:56	0.00553889	0.193401	0.023394	0.17838
00:21:24	0.0654723	1.01088	0.218588	0.73136
00:21:56	0.11453	1.4303	0.421023	0.969321
00:22:26	0.0798933	1.05094	0.31365	0.721447
00:22:56	0.0388112	0.561263	0.17119	0.403257
00:23:26	0.0158126	0.261059	0.0863312	0.209356
00:23:56	0.00361608	0.139564	0.0595054	0.133698
00:24:26	0.00377267	0.0824554	0.036037	0.105909
00:24:55	-0.000983257	0.0148974	0.0252647	0.0486081
00:25:26	0.00109284	0.000555256	0.0253826	0.0611948
00:25:56	-0.00415278	-0.00496236	0.0274363	0.0471572
00:26:26	0.00262921	0.0126155	0.0234941	0.067011
