Relative Time	Peak at 829 cm-1	Peak at 1204 cm-1	Peak at 1704 cm-1	Peak at 1753 cm-1	Annotations
00:00:11	0.00253416	-0.00169521	0.000556202	-0.0158281	
00:00:26	-0.00606982	-0.00352819	-0.00649007	0.00131861	
00:00:41	0.00433101	-0.00290816	0.000531006	-0.00731893	HPLC Running 
00:00:56	0.00343834	-0.00151553	0.00115627	0.00567086	
00:01:11	0.00247539	-0.0047993	-0.00171238	0.0101673	
00:01:26	-0.00471273	-0.00223812	0.00202062	0.0098522	
00:01:41	0.00248375	-0.000560358	0.000704311	0.00353018	
00:01:56	0.00154364	-0.00223488	-0.00209105	-5.47543e-06	
00:02:11	0.0012426	-0.00215614	-0.00340591	0.00693777	
00:02:26	-0.00419017	-0.00696371	0.00374727	0.00716686	
00:02:41	-0.00439001	-0.00277797	-0.00218867	0.0119383	
00:02:56	0.000558737	-0.00618992	0.00267353	0.00757429	
00:03:11	0.00354393	-0.00151384	0.00480609	0.00415833	
00:03:26	0.00232456	-0.00276603	0.00343739	-0.0131349	
00:03:41	0.000599402	-0.0021009	0.00734523	0.00867606	
00:03:56	0.00463807	0.00483712	0.00214182	-0.00175281	
00:04:11	-0.000464918	-0.0106662	0.00358203	-0.011162	
00:04:26	0.00593697	0.000509319	0.0144017	-0.00542622	
00:04:41	0.00358409	-0.0034379	0.00267654	-0.0010249	
00:04:56	0.000523615	-0.00400701	-0.000329389	-0.00920247	
00:05:11	0.00570965	-0.00224729	0.00578516	0.00695389	
00:05:25	-0.000823038	-0.00142396	0.00370162	0.0138226	
00:05:41	-0.00489633	-0.0081693	-0.000595085	0.0112891	
00:05:56	-0.00341245	-0.00679728	0.00192664	0.00995392	
00:06:11	-0.0040301	-0.00548398	0.00272249	0.0073876	
00:06:26	-0.000150742	-0.00379087	0.00415716	0.0157204	
00:06:41	0.00295077	-0.00405897	0.0112435	-0.00145073	
00:06:56	-0.00264739	-0.0103304	-0.00142526	0.0037242	
00:07:11	0.00233164	-0.00407902	0.00831119	0.0112758	
00:07:26	-0.000323068	-0.00837949	0.00884073	0.0273339	
00:07:41	0.000818741	-0.00588682	0.0092671	-0.00131505	
00:07:56	-0.0012904	-0.00351032	0.000943374	0.000688067	
00:08:11	-0.000393951	-0.00450646	0.00522198	0.00324935	
00:08:26	-0.00194196	-0.00886225	0.00131511	0.0111887	
00:08:41	0.00179229	-0.0044214	0.00975931	0.0475703	
00:08:56	-0.000799083	-0.00822704	0.00910826	0.014219	
00:09:11	-0.00612438	-0.00295838	0.00196925	-0.00318672	
00:09:26	-0.00217862	-0.00315121	0.0118044	-0.00177516	
00:09:41	-0.000853138	-0.00428309	0.00700168	-0.0127761	
00:09:56	-0.00257576	-0.00543842	0.00416508	0.0189012	
00:10:11	-0.000455353	-0.00757727	0.00327845	0.0166742	
00:10:26	-0.00129902	-0.00944091	0.00799477	0.00788064	
00:10:41	0.000575713	-0.00626421	-0.00106804	0.023829	
00:10:56	-0.00275955	-0.00568979	0.0136995	0.014171	
00:11:11	0.00475605	-0.00585003	-0.00297973	0.0265032	
00:11:26	-0.00132886	-0.00136212	0.00915689	0.020309	
00:11:41	0.00417151	0.000682241	0.004817	-0.0056487	
00:11:56	0.00203583	-0.00636035	0.0121872	0.0174729	
00:12:11	-0.00196887	-0.00674332	0.0113552	0.019193	
00:12:26	0.0024799	-0.00166226	0.0118463	0.0228156	
00:12:41	-0.00151877	-0.00718485	0.00911415	0.0244663	
00:12:56	0.00198687	-0.00320458	0.0178994	0.00931993	
00:13:11	0.00239631	-0.00441684	0.0116806	0.0406266	
00:13:26	-0.00447691	-0.00985695	-0.000624399	0.0272806	
00:13:41	-0.00682627	0.000194012	0.00778569	0.0173277	
00:13:56	-0.00353563	0.0291336	0.00869674	0.039783	
00:14:11	0.00816776	0.194205	0.0320854	0.179455	
00:14:26	0.0304182	0.715277	0.12162	0.627406	
00:14:41	0.0874857	1.77518	0.372559	1.46627	
00:14:56	0.180137	3.00705	0.764738	2.36853	
00:15:11	0.251592	3.48548	1.02645	2.69601	
00:15:26	0.243942	3.19482	0.993546	2.43992	
00:15:41	0.206083	2.77361	0.86519	2.1244	
