Relative Time	Peak at 1700 cm-1	Peak at 1746 cm-1
00:05:11	0.00506191	-0.0189476
00:05:27	0.00808598	-0.0237304
00:05:41	0.00152911	-0.0245405
00:05:55	0.00345922	-0.0286764
00:06:11	0.0120363	-0.00913575
00:06:27	0.00860437	-0.0138021
00:06:42	0.00382902	-0.0048914
00:06:57	0.00194574	-0.0228914
00:07:12	0.0131447	-0.00746166
00:07:26	-0.000233472	-0.0272381
00:07:42	0.0120005	-0.00816117
00:07:57	0.00527895	-0.0139692
00:08:11	0.00299841	-0.0359443
00:08:26	-0.00662497	-0.0379098
00:08:41	0.0163974	-0.00315555
00:08:57	0.0110825	-0.0176573
00:09:11	0.0161738	-0.0304634
00:09:26	0.00447322	-0.0220519
00:09:42	0.0755557	0.145965
00:09:57	0.227407	0.528369
00:10:11	0.256558	0.5767
00:10:26	0.214554	0.536051
00:10:42	0.206975	0.547287
00:10:57	0.200954	0.549776
00:11:12	0.198836	0.540101
00:11:27	0.19794	0.540898
00:11:42	0.193177	0.540573
00:11:56	0.187243	0.49433
00:12:12	0.0524026	0.081416
00:12:27	0.0283511	0.00117108
00:12:41	0.0175454	0.0202175
00:12:56	0.0194196	0.015874
00:13:12	0.029084	0.0172869
00:13:26	0.0121299	0.0242506
00:13:41	0.0167633	0.0178722
00:13:56	0.0209612	0.0112461
00:14:11	0.0109257	0.0264875
00:14:27	0.0227436	0.0486011
00:14:42	0.0121892	0.00354292
00:14:57	0.0121001	0.0275894
00:15:11	0.00823936	0.0318307
00:15:27	0.0155155	0.021762
00:15:42	0.0169379	0.0349663
00:15:57	0.076874	0.187303
00:16:12	0.194215	0.513334
00:16:27	0.237815	0.604406
00:16:42	0.24609	0.618685
00:16:56	0.220872	0.599853
00:17:11	0.225523	0.589438
00:17:27	0.22355	0.58794
00:17:41	0.20267	0.589631
00:17:57	0.211863	0.591402
00:18:12	0.218847	0.595933
00:18:26	0.0960765	0.235545
00:18:41	0.0438731	0.0580069
00:18:57	0.0359262	0.0083205
00:19:12	0.0094948	-0.0128852
00:19:26	0.00946941	-0.0138913
00:19:42	0.0162009	-0.0069544
00:19:57	0.0194717	-0.0150801
00:20:11	0.0104963	-0.0216426
00:20:26	0.00780603	-0.0170222
00:20:41	0.00573563	-0.0200983
00:20:56	0.00953414	-0.00673449
00:21:10	0.0167668	0.0126231
00:21:26	0.00875918	0.00470719
00:21:41	0.0109011	0.000942388
00:21:56	-0.00093617	-0.0210848
00:22:12	0.00975581	0.0166571
00:22:27	0.129975	0.283344
00:22:42	0.210283	0.506261
00:22:57	0.251074	0.617651
00:23:12	0.238842	0.616261
00:23:27	0.227041	0.597963
00:23:41	0.230295	0.597441
00:23:56	0.235226	0.619291
00:24:11	0.227992	0.631462
00:24:27	0.215725	0.603331
00:24:41	0.226376	0.60605
00:24:57	0.122188	0.220101
00:25:11	0.0813164	0.115844
00:25:26	0.0227816	-0.00361226
00:25:40	0.0222699	0.0045608
00:25:56	0.021813	-0.00374087
00:26:12	0.024317	-0.0144821
00:26:26	0.034895	0.00198046
00:26:41	0.0266227	-0.0110531
