Relative Time	Peak at 1700 cm-1	Peak at 1746 cm-1
00:00:26	0.0923284	0.0866146
00:00:56	0.0954618	0.0779732
00:01:26	0.0883887	0.0746158
00:01:56	0.0877101	0.084967
00:02:26	0.0914824	0.0914825
00:02:56	0.0858231	0.0770762
00:03:26	0.0800004	0.0768509
00:03:56	0.0911176	0.0727341
00:04:26	0.0859162	0.0816314
00:04:56	0.0878406	0.0836508
00:05:26	0.085643	0.0812023
00:05:56	0.0863424	0.0896624
00:06:26	0.0816037	0.0809454
00:06:56	0.0807448	0.0843047
00:07:26	0.0835729	0.0847077
00:07:56	0.0891793	0.0793126
00:08:26	0.0924488	0.087318
00:08:56	0.0887012	0.0783458
00:09:26	0.0861473	0.0862241
00:09:56	0.218262	0.402157
00:10:26	0.572369	1.23565
00:10:56	0.316683	0.598157
00:11:26	0.313375	0.602227
00:11:56	0.301991	0.585608
00:12:26	0.204367	0.411929
00:12:56	0.0713954	0.0969485
00:13:26	0.115018	0.132023
00:13:56	0.11379	0.122211
00:14:26	0.11014	0.118937
00:14:56	0.109783	0.123976
00:15:26	0.115216	0.130305
00:15:56	0.110083	0.127814
00:16:26	0.132943	0.213077
00:16:56	0.353428	1.0425
00:17:26	0.228985	0.500919
00:17:56	0.236061	0.494231
00:18:26	0.226992	0.506226
00:18:56	0.193021	0.460748
00:19:26	0.0344396	0.0866571
00:19:56	0.10021	0.114417
00:20:26	0.100435	0.115661
00:20:56	0.106265	0.114238
00:21:26	0.10097	0.104795
00:21:56	0.105398	0.114692
00:22:26	0.100984	0.118793
00:22:56	0.10159	0.116192
00:23:26	0.299277	0.954681
00:23:56	0.235437	0.571284
00:24:26	0.221036	0.484815
00:24:56	0.210983	0.486448
00:25:26	0.207874	0.477382
00:25:56	0.0471471	0.144551
00:26:26	0.100109	0.111593
00:26:56	0.0999557	0.121037
00:27:26	0.0987455	0.109811
00:27:56	0.0979259	0.113436
00:28:26	0.100365	0.116701
00:28:56	0.101648	0.116424
00:29:26	0.103031	0.111688
00:29:56	0.259462	0.892965
00:30:26	0.220246	0.606745
00:30:56	0.193793	0.468978
00:31:26	0.19748	0.473648
00:31:56	0.180787	0.463941
00:32:26	0.0345792	0.110774
00:32:56	0.103631	0.109056
00:33:26	0.0965635	0.115612
00:33:56	0.0979325	0.112726
00:34:26	0.0993543	0.114319
00:34:56	0.102816	0.110537
00:35:26	0.0985367	0.118197
00:35:56	0.099957	0.109646
00:36:26	0.200433	0.762469
00:36:56	0.211697	0.65978
00:37:26	0.187415	0.459119
