Relative Time	Peak at 1703 cm-1	Peak at 1746 cm-1
00:00:11	0.0119795	0.0171446
00:00:26	0.0131593	0.0221401
00:00:41	0.0131814	0.0325308
00:00:56	0.0149677	0.0345185
00:01:11	0.0186799	0.00398687
00:01:26	0.0214714	0.00135373
00:01:41	0.0117657	0.00934465
00:01:56	0.020257	0.0290854
00:02:11	0.0172775	0.0248668
00:02:26	0.0170675	0.0282931
00:02:41	0.00777976	0.0323167
00:02:56	0.0185214	0.031544
00:03:11	0.0113178	0.00255152
00:03:26	0.0140063	0.0164663
00:03:41	0.0154487	0.0246033
00:03:56	0.015443	0.0243228
00:04:11	0.0154884	0.00308253
00:04:26	0.0169841	0.0139144
00:04:41	0.0137867	0.0165061
00:04:56	0.0197833	0.0115429
00:05:11	0.0140111	0.0150885
00:05:26	0.0138086	0.0164641
00:05:41	0.0174643	0.0171159
00:05:56	0.0158928	0.00797075
00:06:11	0.190086	0.579745
00:06:26	0.22351	0.702249
00:06:41	0.224712	0.702567
00:06:56	0.206025	0.665604
00:07:11	0.207977	0.656854
00:07:26	0.20815	0.652261
00:07:41	0.202827	0.652929
00:07:56	0.198613	0.668196
00:08:11	0.199088	0.64027
00:08:26	0.168261	0.529193
00:08:41	0.050946	0.187473
00:08:56	0.0403882	0.13537
00:09:11	0.0396636	0.0868278
00:09:26	0.0371431	0.0964515
00:09:41	0.0280023	0.0981876
00:09:56	0.0341501	0.0888901
00:10:11	0.0259478	0.100438
00:10:26	0.0351203	0.067195
00:10:40	0.028599	0.0592084
00:10:56	0.0264592	0.0678226
00:11:11	0.0253399	0.0920698
00:11:26	0.0248522	0.0753132
00:11:41	0.0403642	0.0616255
00:11:56	0.0291808	0.0781809
00:12:11	0.0358353	0.0631997
00:12:26	0.114932	0.538582
00:12:41	0.231247	1.25428
00:12:56	0.171799	0.948154
00:13:11	0.101033	0.524581
00:13:26	0.0945924	0.529741
00:13:41	0.0930531	0.545898
00:13:56	0.0839245	0.542163
00:14:11	0.0889546	0.5198
00:14:25	0.0905481	0.533262
00:14:41	0.0858177	0.523826
00:14:56	0.0749266	0.313892
00:15:11	0.0691005	0.205593
00:15:26	0.0132775	0.0549875
00:15:41	0.0114679	0.0232534
00:15:56	0.0179766	0.0245186
00:16:11	0.0168575	0.0217371
00:16:26	0.0132606	0.0320813
00:16:41	0.0168332	0.0327308
00:16:56	0.0150818	0.037869
00:17:11	0.0171184	0.0207011
00:17:26	0.00854599	0.00750819
00:17:41	0.0177476	0.00944663
00:17:56	0.0148572	0.0372865
00:18:11	0.0161604	0.0162298
00:18:26	0.0115278	0.0195158
00:18:41	0.0134021	0.0173114
00:18:56	0.111026	0.561836
00:19:11	0.22175	1.26802
00:19:26	0.215243	1.28091
00:19:41	0.0760262	0.460508
00:19:56	0.0753688	0.445284
00:20:11	0.0672346	0.448028
00:20:26	0.0671104	0.43999
00:20:41	0.0739526	0.439315
00:20:56	0.0696983	0.440306
00:21:11	0.0655939	0.444114
00:21:26	0.0848384	0.403853
00:21:41	0.054793	0.24729
00:21:56	0.027425	0.0735295
00:22:11	0.0288436	0.0350793
00:22:26	0.0192556	0.0591815
00:22:41	0.0142528	0.0444515
00:22:56	0.0179218	0.0310874
00:23:11	0.0186794	0.024322
00:23:26	0.0190068	0.0375727
00:23:41	0.0261495	0.0324255
00:23:56	0.0139324	0.0292951
00:24:11	0.0185131	0.00696496
00:24:26	0.0186654	0.0410121
00:24:41	0.0178398	0.0273866
00:24:56	0.0156237	0.0293391
00:25:11	0.0135919	0.0444108
00:25:26	0.194357	1.13185
00:25:41	0.214675	1.24376
00:25:56	0.0815252	0.513024
00:26:11	0.0746367	0.423434
00:26:26	0.0658882	0.411679
00:26:41	0.0632689	0.414175
00:26:56	0.0638107	0.393826
00:27:11	0.0707354	0.441713
00:27:26	0.0703783	0.418285
00:27:41	0.0906366	0.530453
00:27:56	0.0800642	0.325495
00:28:11	0.0697477	0.23193
00:28:26	0.0314395	0.0606032
00:28:41	0.0235765	0.0476984
00:28:56	0.0241771	0.0611868
00:29:11	0.0197571	0.047517
00:29:26	0.0167448	0.036196
00:29:41	0.0231639	0.0420791
00:29:56	0.0232289	0.0356268
00:30:11	0.0118524	0.0459401
00:30:26	0.0226481	0.0345007
00:30:41	0.0246664	0.00779643
00:30:56	0.0216885	0.0197919
00:31:11	0.0232916	0.0192356
00:31:26	0.0213558	0.0364918
00:31:41	0.0144106	0.023244
00:31:56	0.172639	1.02375
00:32:11	0.192627	1.18606
00:32:26	0.121051	0.749335
00:32:41	0.062477	0.400297
00:32:56	0.0642437	0.424958
00:33:11	0.0632533	0.402187
00:33:27	0.0636036	0.414928
00:33:41	0.0612316	0.408289
00:33:56	0.0596125	0.394199
00:34:11	0.0674128	0.45779
00:34:26	0.0806524	0.351869
00:34:41	0.0695902	0.22364
00:34:56	0.023397	0.0621658
00:35:11	0.0278788	0.0572589
00:35:26	0.0190693	0.055251
00:35:41	0.0233147	0.0458111
00:35:56	0.0212671	0.0465937
00:36:11	0.0252019	0.0200681
00:36:26	0.0186075	0.0562771
00:36:41	0.0186115	0.0490635
00:36:56	0.0217179	0.0399932
00:37:11	0.0224576	0.0363898
00:37:26	0.0206066	0.0301705
00:37:41	0.0219478	0.0335529
00:37:56	0.0246998	0.0171064
00:38:11	0.0239806	0.0454679
00:38:26	0.162791	1.03647
00:38:41	0.173302	1.1574
00:38:56	0.0654468	0.402898
00:39:11	0.0569051	0.366551
00:39:26	0.0541268	0.362833
00:39:41	0.0570661	0.38276
00:39:56	0.0511335	0.364605
00:40:11	0.051954	0.369739
00:40:26	0.049458	0.392471
00:40:41	0.0882562	0.501071
00:40:56	0.0688277	0.281131
00:41:11	0.0691964	0.21782
00:41:26	0.0214727	0.0692479
00:41:41	0.0204412	0.0643604
00:41:56	0.0184052	0.0445757
00:42:11	0.0179024	0.0499586
00:42:26	0.0196305	0.0214985
00:42:41	0.0260159	0.0456531
00:42:56	0.0254737	0.0444754
00:43:11	0.0228033	0.0584323
00:43:26	0.0222335	0.036697
00:43:41	0.0177033	0.0214342
00:43:56	0.0211636	0.0475175
00:44:11	0.0237402	0.050676
00:44:26	0.0239886	0.0408012
00:44:41	0.0207214	0.0369695
00:44:56	0.133902	0.930696
00:45:11	0.163134	1.06834
00:45:26	0.0920263	0.585195
00:45:41	0.0507651	0.40171
00:45:56	0.0538245	0.36987
00:46:11	0.0540536	0.363866
00:46:26	0.0604976	0.346432
00:46:41	0.0535541	0.358393
00:46:56	0.0494361	0.362583
00:47:11	0.0596495	0.408517
00:47:26	0.0753943	0.323745
00:47:41	0.0708694	0.240977
00:47:56	0.0195369	0.06157
00:48:11	0.0216532	0.0564185
00:48:26	0.0214313	0.0535242
00:48:41	0.0167643	0.0279387
00:48:56	0.0238831	0.0395045
00:49:11	0.0233164	0.0455968
00:49:26	0.0167941	0.0361873
00:49:41	0.0236237	0.030469
00:49:56	0.0330014	0.0357039
00:50:11	0.0213686	0.0293026
00:50:26	0.0240006	0.0440767
00:50:41	0.0243583	0.028288
00:50:56	0.0253925	0.0456961
00:51:11	0.0261067	0.0363716
00:51:26	0.0625529	0.355258
00:51:41	0.137071	0.962333
00:51:56	0.136435	1.04401
00:52:11	0.0514977	0.375222
00:52:26	0.0474352	0.374203
00:52:41	0.0486865	0.370047
00:52:56	0.0503457	0.36501
00:53:11	0.0473419	0.380103
00:53:26	0.048728	0.357759
00:53:41	0.0471547	0.385059
00:53:56	0.0857686	0.453559
00:54:11	0.0744868	0.264312
00:54:26	0.0563881	0.176868
00:54:41	0.0265577	0.05712
00:54:56	0.025897	0.0509584
00:55:11	0.0232353	0.0621997
00:55:26	0.0226298	0.0546486
00:55:41	0.0189286	0.0547035
00:55:56	0.0258256	0.038637
00:56:11	0.0308314	0.0389054
00:56:26	0.0202132	0.0388761
00:56:41	0.0244624	0.0281606
00:56:56	0.025608	0.0385383
00:57:11	0.0156183	0.0261092
00:57:26	0.0231145	0.0321913
00:57:41	0.0230728	0.0411157
00:57:56	0.0607142	0.334828
00:58:11	0.103132	0.917531
00:58:26	0.11784	0.967161
00:58:41	0.0393509	0.341363
00:58:56	0.0298316	0.319728
00:59:11	0.0446358	0.330389
00:59:26	0.0329362	0.333283
00:59:42	0.0373844	0.334863
00:59:56	0.046729	0.321076
01:00:11	0.0338502	0.288299
01:00:26	0.0720451	0.348426
01:00:41	0.0606855	0.232943
01:00:56	0.040418	0.0816113
01:01:11	0.0258912	0.0568897
01:01:26	0.0231344	0.0569943
01:01:41	0.0270374	0.0491943
01:01:55	0.0313198	0.0632164
01:02:11	0.0290927	0.0393904
01:02:26	0.0215051	0.0318301
01:02:41	0.0240181	0.0473833
01:02:56	0.0286459	0.0342774
01:03:11	0.0191271	0.0537683
01:03:26	0.0181472	0.0369117
01:03:41	0.0326813	0.0405611
01:03:56	0.0200796	0.0391976
01:04:11	0.0276417	0.0631788
01:04:26	0.0824774	0.648704
01:04:41	0.0909844	0.865307
01:04:56	0.0747893	0.688148
01:05:11	0.0312775	0.319733
01:05:26	0.0308733	0.300566
01:05:41	0.0309372	0.300495
01:05:56	0.0303749	0.290083
01:06:11	0.0367075	0.277232
01:06:26	0.0316245	0.286604
01:06:41	0.0366261	0.31857
