Relative Time	Peak at 1700 cm-1	Peak at 1746 cm-1
00:00:11	0.0189532	-0.0450122
00:00:26	0.0110061	-0.0217327
00:00:40	0.0177195	-0.034603
00:00:56	0.0164264	-0.00300528
00:01:11	0.0166402	-0.0611946
00:01:26	0.0541175	-0.0936533
00:01:41	0.056435	-0.090562
00:01:56	0.0337232	-0.0674266
00:02:11	0.0464201	-0.105899
00:02:26	0.0476227	-0.0767448
00:02:41	0.0394962	-0.0216934
00:02:56	0.0339377	-0.00349763
00:03:11	0.030857	-0.0128242
00:03:26	0.0446051	0.00246543
00:03:41	0.0310568	-0.0174017
00:03:56	0.0337603	-0.0222238
00:04:11	0.0390893	-0.0425658
00:04:26	0.0411694	-0.00950137
00:04:41	0.027775	0.00453262
00:04:56	0.0358831	0.00730583
00:05:11	0.0420765	-0.0122884
00:05:25	0.0544362	-0.0112506
00:05:41	0.0476909	-0.00285595
00:05:56	0.0358193	0.00584084
00:06:11	0.0361255	0.0177761
00:06:26	0.0348109	-0.0223471
00:06:41	0.0462351	-0.00728699
00:06:56	0.0379761	-0.0190578
00:07:11	0.0431557	-0.0233489
00:07:26	0.179923	0.302442
00:07:41	0.326019	0.698391
00:07:56	0.334545	0.709401
00:08:10	0.313482	0.640142
00:08:26	0.309666	0.637408
00:08:41	0.302152	0.637857
00:08:56	0.311971	0.636683
00:09:11	0.30197	0.650037
00:09:26	0.312551	0.652944
00:09:41	0.310333	0.641181
00:09:56	0.0911948	0.102964
00:10:11	0.0472441	0.0352874
00:10:26	0.0501928	-0.00455093
00:10:41	0.049205	-0.0139452
00:10:56	0.0507846	-0.0180749
00:11:11	0.0397886	-0.016005
00:11:26	0.0522648	-0.0126168
00:11:41	0.047251	-0.00991729
00:11:56	0.0508943	-0.0187903
00:12:10	0.0379497	-0.00838826
00:12:26	0.0479587	-0.0253184
00:12:41	0.0455424	-0.00549356
00:12:56	0.0566533	0.00251967
00:13:11	0.0478477	-0.00946127
00:13:26	0.0419344	-0.0252166
00:13:41	0.0564723	-0.0204595
00:13:56	0.0356352	-0.0434527
00:14:11	0.0500793	-0.035066
00:14:26	0.117231	0.198951
00:14:41	0.188596	0.583273
00:14:56	0.209818	0.587187
00:15:11	0.207373	0.583402
00:15:26	0.196546	0.594384
00:15:41	0.190878	0.594301
00:15:56	0.197864	0.587443
00:16:11	0.203527	0.566969
00:16:26	0.195069	0.546519
00:16:41	0.189555	0.586668
00:16:56	0.0499107	0.0439975
00:17:11	0.0324201	0.0100593
00:17:26	0.0375764	-0.00438337
00:17:41	0.0485021	0.00505026
00:17:55	0.0383476	-0.0148511
00:18:11	0.0486001	-0.0332282
00:18:26	0.0465548	-0.00984237
00:18:41	0.0315075	-0.00846876
00:18:56	0.0429783	-0.00457582
00:19:11	0.0448352	-0.006652
00:19:26	0.0406083	-0.0213416
00:19:41	0.0390462	-0.0102313
00:19:56	0.0530047	0.00809876
00:20:11	0.0473462	-0.00164259
00:20:26	0.0352544	-0.0130858
00:20:41	0.0429728	-0.0347973
00:20:56	0.0485938	-0.00951187
00:21:11	0.050995	-0.0429392
00:21:26	0.0536391	0.0297109
00:21:41	0.180791	0.55085
00:21:56	0.192933	0.587783
00:22:11	0.192608	0.56125
00:22:26	0.192224	0.534783
00:22:41	0.192126	0.52533
00:22:55	0.191482	0.541643
00:23:11	0.183632	0.554024
00:23:26	0.186334	0.534772
00:23:41	0.187942	0.545191
00:23:56	0.159632	0.415661
00:24:11	0.0568312	0.0215733
00:24:26	0.0443327	0.00388387
00:24:41	0.044237	-0.00989639
00:24:56	0.0438387	0.00607232
00:25:11	0.0410766	-0.00473465
00:25:26	0.0549153	-0.0268602
00:25:41	0.0527876	-0.0122565
00:25:56	0.0524155	0.0101107
00:26:11	0.0395461	-0.0261007
00:26:26	0.037045	-0.0135916
00:26:41	0.0493542	-0.0153399
00:26:56	0.0452204	-0.000842757
00:27:11	0.0545038	-0.00659709
00:27:26	0.0460984	0.000299843
00:27:41	0.0296063	-0.00412221
00:27:55	0.0427225	-0.0137387
00:28:11	0.0406161	-0.0140761
00:28:26	0.135886	0.351349
00:28:41	0.185589	0.572952
00:28:56	0.188627	0.572508
00:29:11	0.181711	0.558495
00:29:26	0.188456	0.573556
00:29:41	0.191022	0.547848
00:29:56	0.173183	0.573033
00:30:10	0.180286	0.560078
00:30:26	0.179624	0.568287
00:30:41	0.173521	0.551547
00:30:56	0.103476	0.231247
00:31:11	0.0518209	0.00928668
00:31:26	0.0546754	0.0154716
00:31:41	0.0439287	0.00605105
00:31:56	0.0497599	-0.0118805
00:32:11	0.0457709	-0.0348108
00:32:26	0.0490499	-0.0108076
00:32:41	0.0472524	-0.0359463
00:32:56	0.0422887	-0.00200283
00:33:11	0.0486383	-0.0183768
00:33:26	0.0468615	-0.0110112
00:33:41	0.0461411	-0.0142245
00:33:56	0.0519032	0.0163889
00:34:11	0.0466946	0.000255915
00:34:26	0.0488482	-0.0128215
00:34:41	0.0423698	-0.00704436
00:34:56	0.0561756	-0.0292036
00:35:11	0.0544592	-0.00947649
00:35:26	0.042392	0.00335568
00:35:41	0.167028	0.502155
00:35:56	0.184594	0.572237
00:36:11	0.187559	0.598087
00:36:26	0.185273	0.550415
00:36:41	0.181622	0.537959
00:36:56	0.17672	0.535592
00:37:11	0.186013	0.529248
00:37:26	0.183617	0.524123
00:37:41	0.170667	0.517462
00:37:56	0.145829	0.432025
00:38:11	0.0465949	0.0375137
00:38:26	0.0464556	0.00760597
00:38:41	0.0511132	0.00800093
00:38:56	0.0465429	-0.0151744
00:39:11	0.0384959	-0.0132218
00:39:26	0.0535031	-0.0359413
00:39:41	0.0380255	-0.0100392
00:39:56	0.0541116	-0.000398379
00:40:11	0.0534776	-0.0198436
00:40:26	0.0446895	-0.0236147
00:40:41	0.0623455	-0.00211693
00:40:56	0.0434576	-0.0164985
00:41:11	0.0538815	-0.00114761
00:41:26	0.0532966	-0.0161182
00:41:41	0.0446782	-0.0167509
00:41:56	0.0461932	0.0164856
00:42:11	0.048275	-0.0186576
00:42:26	0.0451998	-0.0151767
00:42:41	0.149945	0.418414
00:42:56	0.169462	0.548141
00:43:10	0.168759	0.580084
00:43:26	0.172302	0.517948
00:43:41	0.169219	0.498669
00:43:56	0.154745	0.50881
00:44:11	0.169806	0.495391
00:44:26	0.167845	0.503519
00:44:41	0.173514	0.52472
00:44:56	0.0592924	0.0941001
00:45:11	0.0568579	0.0100135
00:45:26	0.0353099	-0.00618386
00:45:41	0.0409562	0.00190801
00:45:56	0.0472042	0.00102554
00:46:11	0.0372643	0.0217613
00:46:26	0.0395215	0.0025961
00:46:41	0.0507579	-0.00829266
00:46:56	0.0359676	-0.0215476
00:47:11	0.0523996	-0.00110634
00:47:26	0.0420865	0.00142179
00:47:41	0.0484351	-0.0363957
00:47:56	0.0397292	-0.00868173
00:48:11	0.0399408	-0.0191972
00:48:26	0.042864	0.00853216
00:48:41	0.0439359	-0.0150151
00:48:56	0.0431646	0.00559227
00:49:11	0.0292241	-0.0110153
00:49:26	0.0532418	0.000597207
00:49:41	0.132166	0.456441
00:49:56	0.150309	0.582533
00:50:11	0.159367	0.540846
00:50:26	0.151055	0.527738
00:50:41	0.149296	0.553236
00:50:56	0.148491	0.504747
00:51:11	0.159717	0.539419
00:51:26	0.151945	0.522965
00:51:41	0.139298	0.517359
00:51:56	0.161415	0.525633
00:52:11	0.0273818	0.210754
00:52:26	-0.0241085	0.187065
00:52:41	0.0235249	0.0700438
00:52:56	0.0375756	-0.0153311
00:53:11	0.0480058	-0.0100068
00:53:26	0.050223	-0.00634029
00:53:41	0.0515009	-0.021998
00:53:56	0.0527362	-0.0164368
00:54:11	0.0471054	-0.0034981
00:54:26	0.0484884	-0.028813
00:54:41	0.0476365	-0.0194341
00:54:56	0.0525985	-0.021103
00:55:11	0.053023	-0.0277643
00:55:26	0.0451188	-0.0505595
00:55:41	0.0327499	-0.0365008
00:55:56	0.0520796	-0.0270861
00:56:11	0.0544497	-0.0310724
00:56:26	0.0521185	-0.0450026
00:56:41	0.0418331	-0.0338984
00:56:56	0.120595	0.390651
00:57:11	0.140265	0.520785
00:57:26	0.144405	0.509225
00:57:41	0.134235	0.50704
00:57:56	0.138926	0.504433
00:58:11	0.140639	0.499221
00:58:26	0.151749	0.508655
00:58:41	0.154072	0.505017
00:58:56	0.137613	0.495901
00:59:11	0.0612904	0.156783
00:59:26	0.0391781	0.0426317
00:59:41	0.0436988	-0.00131992
00:59:56	0.0309655	-0.00894876
01:00:11	0.0328315	0.0159945
01:00:26	0.042574	0.0291397
01:00:41	0.0473855	-0.0104742
01:00:56	0.0329031	-0.0124067
01:01:11	0.0474971	0.0100187
01:01:26	0.0495672	-0.0167244
01:01:41	0.046159	-0.0209708
01:01:56	0.0453488	-0.00789019
01:02:11	0.0405865	-0.00693279
01:02:26	0.0405585	0.00711278
01:02:41	0.0430277	0.00126742
01:02:56	0.0445714	-0.0121472
01:03:11	0.0362113	-0.00362987
01:03:26	0.0442627	-0.0225067
01:03:41	0.0434608	0.0218272
01:03:56	0.0739061	0.269057
01:04:11	0.121969	0.46588
01:04:26	0.115677	0.496921
01:04:41	0.10762	0.493906
01:04:56	0.114505	0.490249
01:05:11	0.108534	0.465565
01:05:26	0.0994524	0.472051
01:05:41	0.119828	0.477938
01:05:56	0.118156	0.451451
01:06:11	0.113207	0.450112
01:06:26	0.0764273	0.229369
01:06:41	0.0468579	0.0418042
01:06:56	0.0180106	0.00953768
01:07:11	0.0312124	0.00683944
01:07:26	0.0357939	0.0155789
01:07:41	0.029877	0.0273462
01:07:56	0.0421958	0.022495
01:08:11	0.0422721	0.0155646
01:08:26	0.0428247	-0.00963174
01:08:41	0.0292118	-0.000187277
