Relative Time	Peak at 1703 cm-1	Peak at 1746 cm-1
00:00:11	0.00990855	0.00437712
00:00:26	0.00735753	0.00127729
00:00:41	0.00880746	0.00377679
00:00:56	0.0128624	0.00514543
00:01:11	0.0114517	0.0122165
00:01:26	0.00816521	0.00859369
00:01:41	0.00769138	0.00566642
00:01:56	0.0138629	0.0149365
00:02:11	0.00955604	6.32551e-05
00:02:26	0.0118003	-0.00964141
00:02:41	0.012212	0.00738769
00:02:56	0.00876227	0.0143605
00:03:11	0.00539238	0.00514345
00:03:26	0.0063544	0.00617521
00:03:41	0.00704816	0.00646368
00:03:56	0.0143559	-0.00484666
00:04:11	0.0129699	0.0173405
00:04:26	0.00907022	0.00872827
00:04:41	0.00200304	0.0201453
00:04:56	0.0102152	0.00488204
00:05:11	0.0123393	0.00877233
00:05:26	0.0119182	0.00166694
00:05:41	0.00822854	-0.00119637
00:05:56	0.00916658	-0.00202389
00:06:11	0.00862162	-0.00156079
00:06:26	0.00879249	0.0124231
00:06:41	0.0136238	0.00975436
00:06:56	0.010746	0.00810213
00:07:11	0.00610947	0.00633138
00:07:26	0.119991	0.360373
00:07:41	0.180859	0.595485
00:07:56	0.220916	0.654599
00:08:11	0.169347	0.586233
00:08:26	0.163667	0.572232
00:08:41	0.159984	0.571635
00:08:56	0.157019	0.548774
00:09:11	0.159176	0.556974
00:09:26	0.151524	0.56371
00:09:41	0.149025	0.562157
00:09:56	0.150025	0.549879
00:10:11	0.0935529	0.346646
00:10:26	0.044748	0.136781
00:10:41	0.0252102	0.0525327
00:10:56	0.0220566	0.0311177
00:11:11	0.00885855	0.0229697
00:11:26	0.018344	0.0258374
00:11:41	0.0170454	0.0308448
00:11:56	0.0252974	0.0383063
00:12:11	0.0266811	0.0371505
00:12:26	0.0197824	0.019701
00:12:41	0.0137475	0.00202508
00:12:56	0.0162016	0.0433763
00:13:11	0.0174636	0.0172629
00:13:26	0.0183059	-0.00576572
00:13:41	0.0117754	0.0270889
00:13:56	0.0139044	0.0276674
00:14:11	0.0179347	0.0185662
00:14:26	0.0250718	0.0249038
00:14:41	0.220138	1.02124
00:14:56	0.251123	1.21792
00:15:11	0.215985	1.07755
00:15:26	0.103159	0.520365
00:15:41	0.0981254	0.509335
00:15:56	0.0973469	0.499612
00:16:10	0.10076	0.485689
00:16:26	0.091883	0.473457
00:16:41	0.0947996	0.484115
00:16:56	0.0958857	0.478432
00:17:11	0.0930088	0.373669
00:17:26	0.0421496	0.157648
00:17:41	0.0345901	0.102486
00:17:56	0.0113325	-0.0145543
00:18:11	0.00938961	-0.0131106
00:18:26	0.0113989	0.0134389
00:18:41	0.0173396	-0.00604508
00:18:56	0.0149929	0.00481238
00:19:11	0.0164539	0.0202719
00:19:26	0.00968636	-0.0007839
00:19:41	0.0203929	-0.016527
00:19:55	0.0146977	0.00955848
00:20:11	0.0204018	0.00100217
00:20:26	0.0163695	0.00371141
00:20:41	0.0192607	-0.011443
00:20:56	0.0141706	-0.00309115
00:21:11	0.0144683	0.00150694
00:21:26	0.0196084	0.0383802
00:21:41	0.215	1.03487
00:21:56	0.228337	1.1071
00:22:11	0.147792	0.757238
00:22:26	0.129044	0.641667
00:22:41	0.119926	0.604097
00:22:56	0.119103	0.625227
00:23:11	0.113174	0.607048
00:23:26	0.120346	0.603526
00:23:41	0.111089	0.5845
00:23:56	0.116094	0.57479
00:24:11	0.0802511	0.30166
00:24:25	0.057668	0.142001
00:24:41	0.0528	0.096291
00:24:56	0.0238415	0.0405153
00:25:11	0.0267675	0.031402
00:25:26	0.029115	0.0350202
00:25:41	0.0222504	0.024172
00:25:56	0.0210618	0.0306372
00:26:11	0.0196001	0.00814912
00:26:26	0.0247542	0.0249534
00:26:41	0.0232497	0.0180101
00:26:56	0.0292833	0.0291804
00:27:11	0.0243536	0.0161056
00:27:26	0.0187663	0.0424598
00:27:40	0.0211703	0.012312
00:27:56	0.0278829	0.0144909
00:28:11	0.0243671	0.0223627
00:28:26	0.0279057	0.0277717
00:28:41	0.243154	1.27306
00:28:56	0.248662	1.31712
00:29:11	0.167426	0.838686
00:29:26	0.113329	0.564743
00:29:41	0.116425	0.567
00:29:56	0.104106	0.546626
00:30:11	0.100129	0.543641
00:30:26	0.0976434	0.552603
00:30:41	0.097252	0.540747
00:30:55	0.101568	0.543411
00:31:11	0.0652203	0.238481
00:31:26	0.0565277	0.162518
00:31:41	0.0377882	0.065598
00:31:56	0.026526	0.0512081
00:32:11	0.0302684	0.0389722
00:32:26	0.0316278	0.0208473
00:32:41	0.0309418	0.032905
00:32:56	0.0289383	0.0349783
00:33:11	0.0362797	0.0209218
00:33:26	0.0323704	0.0342181
00:33:41	0.0347906	0.0205777
00:33:56	0.0263584	0.0189816
00:34:11	0.0324018	0.0252903
00:34:26	0.0334876	0.0574693
00:34:41	0.0262732	0.0331449
00:34:56	0.0282819	0.0159644
00:35:11	0.0283664	0.0132608
00:35:26	0.183365	0.948565
00:35:41	0.207877	1.08283
00:35:56	0.190357	0.991092
00:36:11	0.109028	0.562707
00:36:26	0.0983794	0.549065
00:36:41	0.103748	0.553751
00:36:56	0.094667	0.556639
00:37:11	0.0907191	0.5203
00:37:26	0.0926141	0.530929
00:37:41	0.0924362	0.508402
00:37:56	0.0879684	0.340424
00:38:11	0.0611358	0.16232
00:38:26	0.0663747	0.137692
00:38:41	0.0295702	0.0193243
00:38:56	0.0317331	0.0446004
00:39:10	0.0328017	0.0405985
00:39:26	0.0338555	0.0112834
00:39:41	0.0238068	0.0330939
00:39:56	0.0285329	-0.00992168
00:40:11	0.0347861	0.0164196
00:40:26	0.0277443	0.0192703
00:40:41	0.0218306	0.0222774
00:40:55	0.0272045	0.0235963
00:41:11	0.0266238	0.0107314
00:41:26	0.0281399	0.0156383
00:41:41	0.0186077	0.0142425
00:41:56	0.0300711	0.0127649
00:42:11	0.0269284	0.0154023
00:42:26	0.15103	0.816912
00:42:41	0.205902	1.13981
00:42:56	0.197734	1.15287
00:43:11	0.0840103	0.447138
00:43:26	0.0836314	0.4456
00:43:41	0.0869391	0.437119
00:43:56	0.0766463	0.43366
00:44:11	0.0764472	0.423722
00:44:26	0.066502	0.419468
00:44:41	0.0685107	0.42762
00:44:56	0.0839902	0.4679
00:45:11	0.0827435	0.307284
00:45:26	0.0731026	0.205892
00:45:41	0.0455212	0.100747
00:45:56	0.0266715	0.0496141
00:46:11	0.0383642	0.0161395
00:46:26	0.0296335	0.0299005
00:46:41	0.0308004	0.0277701
00:46:56	0.0257419	0.0222811
00:47:11	0.0233787	0.037799
00:47:26	0.0253436	0.0196703
00:47:41	0.0261063	0.0245737
00:47:56	0.0192354	0.00308612
00:48:11	0.0235424	0.0267814
00:48:26	0.0289514	0.0178451
00:48:41	0.0234564	0.0256463
00:48:56	0.0194791	0.027627
00:49:11	0.0178813	0.0153834
00:49:26	0.145149	0.78995
00:49:41	0.173228	1.04184
