Relative Time	Peak at 1703 cm-1	Peak at 1746 cm-1
00:00:11	-0.045529	-0.147283
00:00:26	-0.0464469	-0.154827
00:00:41	-0.0468146	-0.136796
00:00:56	-0.0427348	-0.153779
00:01:11	-0.047599	-0.135195
00:01:25	-0.0483369	-0.151505
00:01:41	-0.0473968	-0.147071
00:01:56	-0.0437655	-0.150432
00:02:11	-0.048217	-0.140518
00:02:26	-0.043171	-0.142824
00:02:41	-0.0404012	-0.140736
00:02:56	-0.0290439	-0.0990577
00:03:11	-0.00335486	-0.00792149
00:03:26	0.00720842	0.000743327
00:03:41	-0.0430574	-0.116973
00:03:56	-0.0422615	-0.12576
00:04:11	-0.0453969	-0.122855
00:04:26	-0.0433547	-0.142703
00:04:41	-0.0384987	-0.146167
00:04:56	-0.0444059	-0.150051
00:05:11	-0.0477996	-0.139735
00:05:26	-0.0232537	-0.0691637
00:05:41	0.00237886	-0.00186439
00:05:56	0.00395457	0.0087913
00:06:11	-0.0418798	-0.135397
00:06:26	-0.0494419	-0.148267
00:06:41	-0.049501	-0.131364
00:06:56	-0.0390652	-0.15008
00:07:11	-0.0494779	-0.133405
00:07:26	-0.0494632	-0.141628
00:07:41	-0.0405503	-0.144174
00:07:56	-0.0447375	-0.139947
00:08:11	-0.046399	-0.130756
00:08:25	-0.0437761	-0.151942
00:08:41	-0.0389844	-0.14886
00:08:56	-0.0420741	-0.139156
00:09:10	-0.0469029	-0.143198
00:09:26	-0.0453389	-0.14311
00:09:41	-0.0447981	-0.138744
00:09:56	0.114369	0.413862
00:10:11	0.380046	1.29658
00:10:26	0.403365	1.42844
00:10:41	0.145553	0.569412
00:10:56	0.141471	0.553009
00:11:10	0.133761	0.534165
00:11:26	0.131513	0.516157
00:11:41	0.122309	0.5315
00:11:56	0.112702	0.520305
00:12:11	0.116684	0.515378
00:12:26	0.125746	0.541304
00:12:41	0.0642654	0.247835
00:12:56	0.0244329	0.100776
00:13:11	-0.0192443	-0.0540541
00:13:26	-0.041005	-0.101621
00:13:41	-0.0389121	-0.0851451
00:13:56	-0.0397999	-0.106939
00:14:11	-0.0345288	-0.109852
00:14:26	-0.0407029	-0.104891
00:14:41	-0.0388535	-0.0949841
00:14:56	-0.0348553	-0.115583
00:15:11	-0.0405093	-0.125684
00:15:26	-0.0333524	-0.107624
00:15:41	-0.0357016	-0.113534
00:15:56	-0.0437116	-0.13608
00:16:11	-0.0376914	-0.122834
00:16:26	-0.0428672	-0.119079
00:16:41	-0.0481432	-0.119079
00:16:56	0.0784869	0.299945
00:17:11	0.335275	1.24352
00:17:26	0.358174	1.37076
00:17:41	0.133387	0.557272
00:17:56	0.117393	0.537643
00:18:11	0.107227	0.493827
00:18:26	0.102933	0.502048
00:18:41	0.0987927	0.487283
00:18:56	0.0949287	0.468017
00:19:11	0.097589	0.482434
00:19:26	0.105708	0.502754
00:19:41	0.0560869	0.226809
00:19:56	0.0129431	0.0939651
00:20:11	-0.0316969	-0.0986907
00:20:26	-0.0380631	-0.0947421
00:20:40	-0.0407209	-0.0905038
00:20:56	-0.0386509	-0.114084
00:21:11	-0.0348229	-0.114738
00:21:26	-0.042634	-0.138038
00:21:41	-0.0391939	-0.108638
00:21:56	-0.0397358	-0.136302
00:22:11	-0.0447049	-0.121391
00:22:26	-0.0485325	-0.115546
00:22:41	-0.0486287	-0.111384
00:22:56	-0.0457368	-0.135601
00:23:11	-0.0494697	-0.126478
00:23:26	-0.0495274	-0.135243
00:23:41	-0.042702	-0.10677
00:23:56	0.286515	1.13658
00:24:11	0.3164	1.26361
00:24:26	0.189307	0.773933
00:24:41	0.101196	0.476292
00:24:56	0.0929516	0.483218
00:25:11	0.0851592	0.461405
