Relative Time	Peak at 1592 cm-1	Peak at 1667 cm-1	Peak at 1710 cm-1	Annotations
00:16:41	0.000807445	0.000124179	0.00416876	
00:16:56	-0.00110689	0.000205964	0.00197784	
00:17:11	0.000233903	0.000148507	0.00291001	
00:17:26	-0.000686437	0.000132641	0.00268949	
00:17:41	0.000127347	0.000156163	0.0021361	
00:17:56	0.000339232	0.000107196	0.000750078	
00:18:11	0.000175407	0.000165305	0.00205025	
00:18:26	-0.000545609	0.00011073	0.00337467	
00:18:41	0.000361338	0.000241125	0.00260855	
00:18:56	7.91181e-05	0.000142315	-2.97407e-05	
00:19:11	0.000406123	0.000154164	0.00373475	
00:19:26	-0.000172941	0.000211894	0.00429755	
00:19:41	0.000666824	9.82546e-05	0.00193812	
00:19:56	0.000353115	0.000176515	0.0013639	
00:20:11	-0.000412028	0.000124955	0.00155048	
00:20:26	0.000316351	0.00019816	0.00221267	
00:20:41	-0.000512893	0.000189305	0.00176856	
00:20:56	-0.000544381	0.000191348	0.00229422	
00:21:11	-0.000587669	8.20899e-05	0.00259981	
00:21:26	-0.00120687	0.000302336	0.00392809	
00:21:41	0.000311234	0.000215899	0.00251879	
00:21:56	0.0112986	0.00058846	0.00693194	
00:22:11	0.0164983	0.000669179	0.00982297	
00:22:26	0.0175444	0.000747219	0.00950374	
00:22:41	0.0179738	0.000726579	0.0100535	
00:22:56	0.0184836	0.000766808	0.00981614	
00:23:11	0.016567	0.000730919	0.0104439	
00:23:26	0.016874	0.000700522	0.00996608	
00:23:41	0.0177187	0.000738238	0.00929024	
00:23:56	0.0182299	0.000744561	0.010138	
00:24:11	0.0176441	0.000770947	0.0119784	
00:24:26	0.0166788	0.000786622	0.00946529	
00:24:41	0.0170147	0.000819582	0.0126772	
00:24:56	0.0169434	0.000749002	0.0101057	
00:25:11	0.0162399	0.000770334	0.00903639	
00:25:26	0.017402	0.000817952	0.0116254	
00:25:41	0.0160994	0.000805302	0.0104718	
00:25:56	0.0168952	0.000742382	0.0110968	
00:26:11	0.0167679	0.000763032	0.00983766	
00:26:26	0.0161625	0.000721424	0.0123862	
00:26:41	0.0171028	0.000782381	0.0102614	
00:26:56	0.0163513	0.00068486	0.00958346	
00:27:11	0.0160143	0.000870531	0.0109512	
00:27:26	0.0154335	0.000779681	0.0115986	
00:27:41	0.0160178	0.00079704	0.0090554	
00:27:56	0.0159233	0.000695877	0.0108338	
00:28:11	0.0162379	0.000720909	0.00990256	
00:28:26	0.00152003	0.00025784	0.00357885	
00:28:41	0.000820926	0.000280816	0.00391399	
00:28:56	0.00118008	0.000152628	0.00305718	
00:29:11	0.000366106	0.000169798	0.00329953	
00:29:26	0.00156948	0.000209646	0.00277709	
00:29:41	0.000570282	0.000154152	0.00522161	
00:29:56	0.0011187	0.000247454	0.00257544	
00:30:11	-0.000341736	0.000231509	0.0048496	
00:30:26	0.000675671	0.000191003	0.00257767	
00:30:41	-0.000432199	0.00029473	0.00241498	
00:30:56	-0.000572957	0.000201225	0.00156401	
00:31:10	-0.000146033	0.000261529	0.00186151	
00:31:26	0.00115082	0.000218144	0.00354969	
00:31:41	-4.06641e-05	0.000106947	0.00397634	
00:31:56	8.1188e-05	0.000256882	0.00118884	
00:32:10	-3.09044e-05	0.000143148	0.00415601	
00:32:26	-0.000136128	0.000218942	0.00300345	
00:32:41	0.000792476	0.000183071	0.00274354	
00:32:56	0.00127904	0.00017987	0.00339943	
00:33:11	-5.30532e-06	0.00028628	0.00502705	
00:33:26	0.000301054	0.000214124	0.00364579	
00:33:41	0.000201309	0.000298383	0.00306816	
00:33:56	-0.000444741	0.000170958	0.0038232	
00:34:11	0.000666424	0.000229662	0.00396955	
00:34:26	0.000575791	0.000223757	0.00313776	
00:34:41	0.00973209	0.00045021	0.00675717	
00:34:56	0.0160668	0.000718901	0.00898295	
00:35:11	0.0168314	0.000722369	0.00924357	
00:35:26	0.0162563	0.000719666	0.0089968	
00:35:41	0.0152803	0.000802883	0.00929255	
00:35:56	0.0155548	0.00074713	0.0110889	
00:36:11	0.0147964	0.000670238	0.0116034	
00:36:26	0.0152613	0.000695364	0.00789296	
00:36:41	0.0154267	0.000652909	0.00912533	
00:36:56	0.0163985	0.000719687	0.010921	
00:37:11	0.0157239	0.000711791	0.0115047	
00:37:26	0.0151812	0.000689533	0.0101397	
00:37:41	0.0158529	0.00087994	0.00913887	
00:37:56	0.0152683	0.000724841	0.0103172	
00:38:11	0.0150418	0.000796762	0.0114303	
00:38:26	0.0150039	0.000728963	0.0100983	
00:38:41	0.0155499	0.000637091	0.00721696	
00:38:56	0.0156644	0.000590141	0.00841542	
00:39:11	0.0159404	0.000650902	0.00986981	
00:39:26	0.0150385	0.000684448	0.0100162	
00:39:41	0.0144021	0.00072653	0.0108487	
00:39:56	0.01427	0.000774982	0.01123	
00:40:11	0.0141079	0.000691868	0.00795768	
00:40:26	0.0147987	0.000676403	0.00863979	
00:40:41	0.0154946	0.000665897	0.0104365	
00:40:56	0.00781014	0.000463039	0.00672211	
00:41:11	0.000465312	0.000217082	0.00493923	
00:41:26	0.000394924	0.000282906	0.00350551	
00:41:41	0.000928568	0.000302344	0.00362553	
00:41:56	-7.79192e-05	0.000201494	0.00320857	
00:42:11	0.000967563	0.000242761	0.00224355	
00:42:26	0.000835956	0.000232921	0.0037665	
00:42:41	0.000999927	0.000201682	0.00447559	
00:42:56	0.000376938	0.000214644	0.00485004	
00:43:11	0.000942444	0.000229563	0.0016152	
00:43:26	0.000397813	0.000213473	0.00409051	
00:43:41	0.000573272	0.000189478	0.00482677	
00:43:56	-0.000589905	8.96317e-05	0.00352513	
00:44:11	-0.000482836	0.000189663	0.00358062	
00:44:26	0.000899031	0.000248423	0.00268926	
00:44:41	-0.000185292	0.000261452	0.00164663	
00:44:56	-5.94921e-05	0.000265164	0.00314425	
00:45:11	-0.000631934	0.000286296	0.00230156	
00:45:26	0.000852265	0.000280979	0.00163894	
00:45:41	0.00120261	0.000261169	0.00173051	
00:45:56	-0.000985646	0.000236054	0.0044897	
00:46:11	0.000651905	0.00020734	0.00339383	
00:46:26	-0.000873512	0.000232952	0.00410073	
00:46:41	0.000627433	0.00019924	0.0046339	
00:46:56	-0.000277224	0.000249162	0.0036652	
00:47:11	0.0037541	0.000213421	0.00487919	
00:47:26	0.0135933	0.000716661	0.00993115	
00:47:41	0.0139919	0.000583029	0.0103169	
00:47:56	0.0147769	0.000758967	0.00844412	
00:48:11	0.0132464	0.000641132	0.00768613	
00:48:26	0.0142189	0.000778148	0.0077818	
00:48:41	0.0144823	0.000712537	0.0103206	
00:48:56	0.0130552	0.000738245	0.0079664	
00:49:11	0.0136451	0.000671968	0.00824755	
00:49:26	0.0126381	0.000669482	0.00909468	
00:49:41	0.0129392	0.000752863	0.010933	
00:49:56	0.0130497	0.000763715	0.00887732	
00:50:11	0.0132524	0.000671085	0.00829898	
00:50:26	0.0142416	0.000690462	0.0090248	
00:50:41	0.0141357	0.000728994	0.00902467	
00:50:56	0.0139953	0.000647729	0.00893242	
00:51:11	0.0125799	0.000697727	0.00982281	
00:51:26	0.0129687	0.000651637	0.00808928	
00:51:41	0.0128397	0.00074387	0.0113889	
00:51:56	0.0134144	0.000645345	0.0101813	
00:52:11	0.0130247	0.000699234	0.00915319	
00:52:26	0.0126864	0.000636458	0.00819526	
00:52:41	0.0130875	0.000562392	0.00831465	
00:52:56	0.0119299	0.000649131	0.00945797	
00:53:11	0.0124109	0.000623428	0.00990502	
00:53:26	0.0120255	0.000669419	0.00887488	
00:53:41	0.00334237	0.000266999	0.00536092	
00:53:56	0.00107558	0.000222946	0.00468231	
00:54:11	0.000449021	0.000192133	0.00367226	
00:54:26	-2.79114e-05	0.000286569	0.00299439	
00:54:41	0.000674936	0.000184429	0.00415093	
00:54:56	0.000311175	0.000240975	0.00540735	
00:55:11	0.0013595	0.000267166	0.00501188	
00:55:26	0.000868008	0.000192949	0.00412333	
00:55:41	0.000363477	0.000172271	0.00378267	
00:55:56	0.000548387	0.000254334	0.00417444	
00:56:11	2.66489e-05	0.000213518	0.00335415	
00:56:26	0.00120496	0.00022339	0.00340711	
00:56:41	0.000200847	0.000229683	0.00376534	
00:56:56	0.00112477	0.000187099	0.00438562	
00:57:11	0.000172392	0.000223446	0.00467897	
00:57:26	0.00109255	0.000232756	0.00523924	
00:57:41	0.000830511	0.000135841	0.00603748	
00:57:56	0.000560393	0.000252575	0.00278289	
00:58:11	0.000165872	0.000214695	0.00613581	
00:58:26	0.000422049	0.000236795	0.00205946	
00:58:41	-0.000364405	0.00026683	0.00321358	
00:58:56	-0.000668575	0.000237561	0.0024079	
00:59:11	-0.00131157	0.000194702	0.00565693	
00:59:26	-4.11268e-05	0.000224709	0.00244356	
00:59:41	0.000496682	0.000213761	0.00453392	
00:59:56	0.000464019	0.000316108	0.00261411	
01:00:11	0.0109624	0.000585524	0.00866447	
01:00:26	0.0122059	0.000588441	0.00814478	
01:00:41	0.0117776	0.00073367	0.0095311	
01:00:55	0.0136147	0.000572857	0.00729294	
01:01:11	0.0124748	0.000645679	0.0084601	
01:01:26	0.0132891	0.000680089	0.00840694	
01:01:41	0.0130072	0.000734028	0.0100013	
01:01:56	0.0123407	0.000641123	0.00835332	
01:02:11	0.0121225	0.000627535	0.00728829	
01:02:26	0.0123717	0.000601898	0.00864531	
01:02:41	0.0124681	0.000749144	0.00862982	
01:02:56	0.0120471	0.000597349	0.00811731	
01:03:11	0.0121169	0.000567328	0.00965664	
01:03:26	0.0123449	0.000734273	0.0104959	
01:03:41	0.0130079	0.000729482	0.00700084	
01:03:56	0.0110111	0.000735014	0.0089049	
01:04:11	0.0121754	0.000690056	0.00910134	
01:04:26	0.0118002	0.000604722	0.00912621	
01:04:41	0.0120097	0.000739584	0.0087357	
01:04:56	0.0114005	0.000659462	0.0075652	
01:05:11	0.0109375	0.000623632	0.00977117	
01:05:26	0.0113484	0.000649996	0.0116992	
01:05:41	0.0117329	0.000668578	0.00845691	
01:05:56	0.0111471	0.000623129	0.00934234	
01:06:11	0.0117402	0.000536293	0.00918323	
01:06:26	0.00791745	0.000606999	0.00761162	
01:06:41	0.000943158	0.000211673	0.00572959	
01:06:56	0.00030733	0.000251092	0.00294133	
01:07:11	-0.000389797	0.000159993	0.00436126	
01:07:26	-0.000153476	9.85681e-05	0.00315751	
01:07:41	0.000978131	0.00020515	0.00324847	
01:07:56	0.000578941	0.000248609	0.00444324	
01:08:11	0.00111229	0.000229474	0.00532569	
01:08:25	0.00132595	0.000212839	0.00526312	
01:08:41	0.00115477	0.00010834	0.00348839	
01:08:56	0.000466638	0.000260412	0.00288783	
01:09:11	-0.000697533	0.000234723	0.00291194	
01:09:26	0.00163934	0.000138058	0.00193925	
01:09:41	1.34465e-05	0.000236185	0.00160482	
01:09:56	0.00114786	0.000262895	0.00295359	
01:10:11	0.000615227	0.000236134	0.00343876	
01:10:26	0.000452565	0.000276724	0.00472354	
01:10:41	0.00144989	0.000209904	0.00589896	
01:10:56	-3.02969e-05	0.000176448	0.00509698	
01:11:11	0.00069157	0.000353674	0.00321914	
01:11:26	0.000851431	0.000198118	0.00413222	
01:11:41	0.000601176	0.000145765	0.00334553	
01:11:56	0.000738142	0.000277303	0.00317499	
01:12:11	0.00040282	0.000259434	0.00149307	
01:12:26	0.00105302	0.000199138	0.00506427	
01:12:41	-0.00105541	0.000146442	0.00438334	
01:12:56	0.00827575	0.000555269	0.0069484	
01:13:11	0.0104479	0.000717357	0.00585587	
01:13:26	0.0106612	0.000548863	0.00747898	
01:13:41	0.0113473	0.000609229	0.00588448	
01:13:56	0.0111466	0.000627337	0.00660668	
01:14:11	0.0105581	0.000578943	0.00738788	
01:14:26	0.0110428	0.00055021	0.00552807	
01:14:41	0.00924255	0.000661111	0.00876447	
01:14:56	0.0101773	0.000639624	0.00919698	
01:15:11	0.010923	0.000618312	0.00796151	
01:15:26	0.0108673	0.00069526	0.0096907	
01:15:41	0.0107101	0.000596895	0.00802533	
01:15:56	0.0101981	0.000527736	0.00820936	
01:16:11	0.0103277	0.000565314	0.00936945	
01:16:26	0.00945563	0.000726625	0.00974402	
01:16:41	0.0102784	0.000513182	0.0079172	
01:16:56	0.00998145	0.000467216	0.00803067	
01:17:11	0.00982066	0.000580933	0.00783024	
01:17:26	0.00956174	0.000618022	0.00935749	
01:17:41	0.00983016	0.000708888	0.00791055	
01:17:56	0.00963228	0.000620779	0.00818852	
01:18:11	0.00943638	0.000602726	0.00793058	
01:18:26	0.0102467	0.000573686	0.00798927	
01:18:41	0.00993907	0.000514158	0.00835972	
01:18:56	0.0103216	0.000584625	0.00774023	
01:19:11	0.010549	0.000640208	0.00857532	
01:19:26	0.00156979	0.000258848	0.00368051	
01:19:41	0.00136423	0.000241004	0.00486697	
01:19:56	5.63965e-05	0.000222026	0.00566436	
01:20:11	0.000379212	0.000230114	0.00656029	
01:20:26	0.00114897	0.000271156	0.00434823	
01:20:41	-4.7037e-05	0.000211733	0.00355687	
01:20:56	0.000686354	0.000204594	0.00350569	
01:21:11	0.000256493	0.000125013	0.0047905	
01:21:26	0.00189693	0.000221494	0.00581826	
01:21:41	0.000512563	0.000231436	0.00617314	
01:21:56	0.000699979	0.00028289	0.00535999	
01:22:11	0.000496997	0.000223319	0.00494848	
01:22:26	-0.00024852	0.00027255	0.00455974	
01:22:41	0.000547728	0.000233847	0.00413853	
01:22:56	7.25428e-05	0.000334511	0.00349093	
01:23:11	7.43563e-05	0.000214773	0.00516392	
01:23:26	0.000114595	0.000188851	0.00240086	
01:23:41	0.000394603	0.000225155	0.00340688	
01:23:56	0.000504606	0.000261074	0.00398295	
01:24:11	-0.000295069	0.000243552	0.00419986	
01:24:26	0.000812608	0.00015785	0.00283027	
01:24:41	0.00012743	0.000120541	0.00337609	
01:24:56	0.000627894	0.000200458	0.000673407	
01:25:11	0.000307941	0.00023636	0.00412197	
01:25:26	0.00139333	0.000211653	0.00374449	
01:25:41	0.000408861	0.000157646	0.003546	
01:25:56	0.00373761	0.000355308	0.00625543	
01:26:11	0.009378	0.000631449	0.00852529	
01:26:26	0.00935968	0.000440345	0.00892791	
01:26:41	0.00982695	0.000555578	0.00860464	
01:26:56	0.00757493	0.000650201	0.00775914	
