Relative Time	Peak at 1591 cm-1	Annotations
00:00:11	0.00224285	
00:00:26	0.00305295	HTKE Start 
00:00:41	0.00339508	
00:00:56	0.00473177	
00:01:11	0.00444911	
00:01:26	0.00409757	
00:01:41	0.00381529	
00:01:56	0.00324349	
00:02:11	5.10176e-05	
00:02:26	0.00181617	
00:02:40	0.0034149	
00:02:56	0.00324458	
00:03:10	0.00359296	
00:03:25	0.00431351	
00:03:41	0.00076281	
00:03:56	-0.000745759	
00:04:11	0.00175959	
00:04:26	0.0066798	
00:04:41	0.00131956	
00:04:56	0.00257934	
00:05:11	0.00214663	
00:05:26	0.00452355	
00:05:41	0.00312196	
00:05:56	0.000631027	
00:06:11	0.00407004	
00:06:26	0.00290711	
00:06:39	0.00329142	
00:06:55	0.00160725	
00:07:11	0.00464791	
00:07:26	0.00288749	
00:07:41	-0.000220478	
00:07:56	0.00432699	
00:08:10	0.00200116	
00:08:26	0.00578697	
00:08:41	0.00407839	
00:08:56	0.0012012	
00:09:11	-0.00155017	
00:09:26	0.00555607	
00:09:41	0.00427865	
00:09:56	0.00518423	
00:10:11	0.00437194	
00:10:26	0.00574411	
00:10:41	0.00284941	
00:10:56	0.00512167	
00:11:10	0.00485638	
00:11:25	0.00355883	
00:11:40	0.00683439	
00:11:55	0.00570945	
00:12:10	0.00134018	
00:12:26	0.00463826	
00:12:41	0.00814981	
00:12:56	0.000210589	
00:13:11	0.110241	
00:13:26	0.117852	
00:13:40	0.0853236	
00:13:55	0.0818305	
00:14:11	0.0781321	
00:14:26	0.0798206	
00:14:41	0.0792675	
00:14:56	0.0773311	
00:15:11	0.077676	
00:15:25	0.0776975	
00:15:40	0.0755777	
00:15:56	0.0744922	
00:16:11	0.0776032	
00:16:26	0.0115227	
00:16:41	0.00180076	
00:16:56	0.00156307	
00:17:10	0.00593119	
00:17:25	0.00291183	
00:17:41	0.00607529	
00:17:56	0.0045107	
00:18:11	0.0043867	
00:18:26	0.00434846	
00:18:41	0.00234921	
00:18:56	0.00597496	
00:19:11	0.0092005	
00:19:26	0.00490654	
00:19:41	0.00290846	
00:19:56	0.00868679	
00:20:09	0.00714851	
00:20:25	0.00739658	
00:20:41	0.0257175	
00:20:56	0.110523	
00:21:11	0.106426	
00:21:26	0.07841	
00:21:41	0.0738605	
00:21:56	0.0749632	
00:22:11	0.0720841	
00:22:26	0.0722365	
00:22:41	0.0672399	
00:22:55	0.0725496	
