Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1	Annotations
00:00:11	0.0055169	0.132579	
00:00:26	0.00615919	0.129352	HTKE Start 
00:00:41	0.00184379	0.118479	
00:00:56	0.00272209	0.126529	
00:01:11	0.00513575	0.137799	
00:01:26	0.00411228	0.123708	
00:01:41	0.00438808	0.125276	
00:01:56	0.00372204	0.124652	
00:02:11	0.00196088	0.133976	
00:02:26	0.00171612	0.139348	
00:02:41	0.00443108	0.128607	
00:02:56	0.00542071	0.126676	
00:03:11	0.00528894	0.116571	
00:03:26	0.00110864	0.0852337	
00:03:41	0.00136102	-0.00135516	
00:03:56	0.00235877	0.00193076	
00:04:11	0.002769	0.0146057	
00:04:26	0.00239706	0.0190353	
00:04:41	0.00319627	0.0289502	
00:04:56	0.00220553	0.0481025	
00:05:10	0.00362053	0.0495288	
00:05:26	0.00251336	0.0443337	
00:05:41	0.00298306	0.0690915	
00:05:56	0.00276847	0.0666552	
00:06:11	0.00349725	0.064061	
00:06:25	0.00542359	0.0777948	
00:06:40	0.00385544	0.0685883	
00:06:55	0.00538381	0.0799801	
00:07:11	0.000204102	0.0898885	
00:07:26	-8.84527e-05	0.0923074	
00:07:41	0.00537695	0.0862008	
00:07:55	0.000162653	0.0428533	
00:08:11	-0.00293542	-0.00164889	
00:08:26	0.00125027	0.00194264	
00:08:41	0.00687378	0.00991494	
00:08:56	0.00356969	0.0177243	
00:09:11	0.00515045	0.0261156	
00:09:26	0.00498429	0.0257839	
00:09:41	0.0076103	0.0324607	
00:09:56	0.0046785	0.0467831	
00:10:11	0.00552842	0.0380156	
00:10:26	0.00543308	0.0281763	
00:10:41	0.00563862	0.0516189	
00:10:56	0.00623387	0.0430882	
00:11:11	0.00469488	0.0577822	
00:11:26	0.00468901	0.0551938	
00:11:41	0.00577909	0.0645697	
00:11:56	0.0051715	0.0714542	
00:12:11	0.00421363	0.0702019	
00:12:26	0.0494336	0.329875	
00:12:41	0.154176	0.886198	
00:12:56	0.137279	0.765987	
00:13:11	0.0844914	0.485566	
00:13:26	0.0913505	0.485143	
00:13:41	0.0874008	0.486174	
00:13:56	0.0872555	0.484775	
00:14:11	0.0867421	0.495871	
00:14:26	0.0832595	0.463711	
00:14:41	0.0859895	0.469284	
00:14:56	0.0830267	0.466845	
00:15:11	0.0824446	0.448535	
00:15:26	0.0876001	0.458299	
00:15:41	0.0817906	0.457115	
00:15:56	0.0823543	0.437511	
00:16:11	0.00982887	0.0460126	
00:16:26	0.00612062	0.000669796	
00:16:41	0.00722872	0.0234016	
00:16:56	0.00521246	0.0298408	
00:17:11	0.00742186	0.0364889	
00:17:26	0.00815415	0.033642	
00:17:41	0.00909833	0.0338337	
00:17:56	0.00771372	0.0470141	
00:18:11	0.00693662	0.0382371	
00:18:26	0.0059387	0.0439059	
00:18:41	0.00927327	0.0564847	
00:18:56	0.00961855	0.041628	
00:19:11	0.00698604	0.0609261	
00:19:26	0.00513085	0.0620173	
00:19:41	0.0054701	0.0652157	
00:19:56	0.00724246	0.0659109	
00:20:11	0.0297581	0.264492	
00:20:26	0.111692	0.823215	
00:20:41	0.103612	0.740285	
00:20:56	0.0657011	0.45468	
00:21:11	0.0650087	0.45301	
00:21:26	0.0636675	0.444568	
00:21:41	0.0643771	0.454716	
00:21:56	0.061825	0.437455	
00:22:11	0.06297	0.441066	
00:22:26	0.06162	0.428943	
00:22:41	0.0585704	0.441722	
00:22:56	0.0599982	0.425725	
00:23:11	0.0613215	0.437928	
00:23:26	0.0597812	0.42636	
00:23:41	0.0270094	0.170797	
00:23:56	0.00350056	0.0231519	
00:24:11	0.00642285	0.0102676	
00:24:26	0.00740496	0.0307505	
00:24:41	0.00392362	0.0349313	
00:24:56	0.00574473	0.0322478	
00:25:11	0.0054245	0.0257484	
00:25:26	0.00446263	0.045512	
00:25:41	0.00271366	0.0366459	
00:25:56	0.00627631	0.0393468	
00:26:11	0.00256048	0.0436378	
00:26:26	0.00345303	0.050172	
00:26:41	0.00717444	0.0543325	
00:26:56	0.00287832	0.0678716	
00:27:11	0.00271278	0.0596194	
00:27:26	0.00232246	0.0615977	
00:27:41	0.0075065	0.0670705	
00:27:56	0.0051574	0.0696621	
00:28:11	0.0744617	0.47469	
00:28:26	0.141233	0.840292	
00:28:41	0.107305	0.607234	
00:28:56	0.075566	0.450097	
00:29:11	0.0758835	0.443139	
00:29:26	0.0753684	0.426628	
00:29:41	0.0765723	0.442589	
00:29:56	0.0732605	0.438479	
00:30:11	0.0768543	0.427158	
00:30:26	0.0719546	0.421787	
00:30:41	0.0790105	0.43695	
00:30:56	0.0723397	0.4312	
00:31:11	0.0692776	0.413494	
00:31:26	0.0671696	0.356607	
00:31:41	0.00595301	0.0398558	
00:31:56	0.00558793	-6.95483e-05	
00:32:11	0.00729306	0.0305933	
00:32:26	0.00723911	0.024025	
00:32:41	0.00442398	0.034314	
00:32:56	0.0096029	0.0270033	
00:33:11	0.00552438	0.0343057	
00:33:26	0.00924807	0.0479826	
00:33:41	0.00830372	0.0526248	
00:33:56	0.00575661	0.058031	
00:34:11	0.00965315	0.041966	
00:34:26	0.00489406	0.063298	
00:34:41	0.00492167	0.0578562	
00:34:56	0.00622305	0.0583313	
00:35:11	0.00488425	0.0738059	
00:35:26	0.00635989	0.0714532	
00:35:41	0.0071029	0.0891456	
00:35:56	0.00555135	0.0808678	
00:36:11	0.100614	0.745021	
00:36:25	0.113184	0.816594	
00:36:40	0.0632551	0.463294	
00:36:55	0.0585288	0.437315	
00:37:10	0.0599591	0.442707	
00:37:26	0.0606468	0.426992	
00:37:41	0.057414	0.412615	
