Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1	Annotations	
00:00:11	0.238023	5.60477		
00:00:26	0.0908004	3.79124		
00:00:41	0.0133838	5.59245	SPKA Start 	
00:00:56	0.0680644	4.75947		
00:01:11	-0.0705815	4.9869		
00:01:26	0.0890887	4.62547		
00:01:41	0.171681	5.23302		
00:01:56	0.227544	5.02931		
00:02:11	0.352826	3.89176		
00:02:26	0.117713	5.35845		
00:02:41	0.0742081	4.9527		
00:02:56	-0.0849711	3.85373		
00:03:11	-0.982609	-0.267998		
00:03:26	-0.0191563	1.75681		
00:03:41	-0.106675	2.33146		
00:03:56	0.437536	3.27063		
00:04:11	-0.0313831	3.19152		
00:04:26	0.193136	1.77638		
00:04:41	0.0641484	2.57491		
00:04:56	0.164302	3.7159		
00:05:11	0.0785677	3.22412		
00:05:26	0.268839	3.46057		
00:05:41	0.216545	3.26375		
00:05:56	0.210926	4.16687		
00:06:11	0.167058	4.34972		
00:06:26	0.357808	3.2149		
00:06:41	-0.343525	2.74281		
00:06:56	0.238023	5.60477		
00:07:11	0.0908004	3.79124		
00:07:26	0.0133838	5.59245		
00:07:41	0.0680644	4.75947		
00:07:56	-0.0705815	4.9869		
00:08:11	0.0890887	4.62547		
00:08:26	0.171681	5.23302		
00:08:41	0.227544	5.02931		
00:08:56	0.352826	3.89176		
00:09:11	0.117713	5.35845		
00:09:26	0.0742081	4.9527		
00:09:41	-0.0849711	3.85373		
00:09:56	-0.982609	-0.267998		
00:10:11	-0.0191563	1.75681		
00:10:26	-0.106675	2.33146		
00:10:40	0.437536	3.27063		
00:10:56	-0.0313831	3.19152		
00:11:11	0.193136	1.77638		
00:11:26	0.0641484	2.57491		
00:11:41	0.164302	3.7159		
00:11:56	0.0785677	3.22412		
00:12:11	0.268839	3.46057		
00:12:26	0.216545	3.26375		
00:12:41	0.210926	4.16687		
00:12:55	0.167058	4.34972		
00:13:11	0.357808	3.2149		
00:13:26	0.238023	5.60477		
00:13:41	0.0908004	3.79124		
00:13:56	0.0133838	5.59245		
00:14:11	0.0680644	4.75947		
00:14:26	-0.0705815	4.9869		
00:14:41	0.0890887	4.62547		
00:14:56	0.171681	5.23302		
00:15:11	0.227544	5.02931		
00:15:26	0.352826	3.89176		
00:15:41	0.117713	5.35845		
00:15:56	0.0742081	4.9527		
00:16:11	-0.0849711	3.85373		
00:16:26	-0.982609	-0.267998		
00:16:41	-0.0191563	1.75681		
00:16:56	-0.106675	2.33146		
00:17:11	0.437536	3.27063		
00:17:26	-0.0313831	3.19152		
00:17:41	0.193136	1.77638		
00:17:56	0.0641484	2.57491		
00:18:11	0.164302	3.7159		
00:18:26	0.0785677	3.22412		
00:18:41	0.268839	3.46057		
00:18:56	0.216545	3.26375		
00:19:11	0.210926	4.16687		
00:19:26	0.167058	4.34972		
