Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1	Annotations
02:00:11	0.00844758	0.0457893	
02:00:26	0.00928774	0.0463612	
02:00:41	0.0103767	0.0482907	
02:00:56	0.00792018	0.0532425	
02:01:11	0.0109116	0.0409787	
02:01:26	0.00964232	0.0456891	
02:01:41	0.00927198	0.0385609	
02:01:56	0.00827874	0.0511966	
02:02:11	0.00994155	0.0436714	
02:02:26	0.0130331	0.0371121	
02:02:41	0.0131769	0.0406439	
02:02:56	0.0101984	0.0529229	
02:03:11	0.00904129	0.043274	
02:03:25	0.0137079	0.0489897	
02:03:41	0.0104903	0.036584	
02:03:56	0.00916604	0.0491902	
02:04:11	0.0104189	0.0420107	
02:04:26	0.00830022	0.0432317	
02:04:41	0.00991278	0.0499304	
02:04:56	0.0112898	0.0386953	
02:05:11	0.0114414	0.0536475	
02:05:26	0.0127894	0.0445915	
02:05:41	0.0106028	0.0545039	
02:05:56	0.0109082	0.0660386	
02:06:11	0.187528	1.13025	
02:06:26	0.225941	1.34929	
02:06:41	0.135343	0.743625	
02:06:56	0.0897684	0.529558	
02:07:11	0.0901055	0.516857	
02:07:26	0.0886355	0.508186	
02:07:41	0.0850787	0.488083	
02:07:56	0.0855333	0.480416	
02:08:11	0.0814342	0.452092	
02:08:26	0.0826937	0.450155	
02:08:41	0.0833159	0.438691	
02:08:56	0.081625	0.430228	
02:09:11	0.081737	0.421436	
02:09:26	0.0854721	0.442017	
02:09:41	0.0106572	0.0447434	
02:09:56	0.01491	0.0548973	
02:10:11	0.0124567	0.0622976	
02:10:26	0.0120566	0.0528669	
02:10:41	0.0112269	0.0485506	
02:10:56	0.0124501	0.0526052	
02:11:11	0.00942085	0.0510761	
02:11:26	0.0113859	0.0479658	
02:11:41	0.0124534	0.0432219	
02:11:56	0.0133174	0.0497906	
02:12:11	0.00844255	0.0437349	
02:12:26	0.0119379	0.0560171	
02:12:40	0.0109473	0.0514785	
02:12:56	0.0145224	0.0483205	
02:13:11	0.0139573	0.0497381	
02:13:26	0.0141163	0.0529833	
02:13:41	0.0145971	0.0579161	
02:13:56	0.0116113	0.0515888	
02:14:11	0.0137737	0.0539499	
02:14:26	0.0126987	0.0402369	
02:14:41	0.0124585	0.048442	
02:14:56	0.0110282	0.0461713	
02:15:11	0.0126147	0.0593676	
02:15:26	0.0136059	0.0517514	
02:15:41	0.013808	0.0545381	
