Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1	Annotations
02:00:11	1.02895	5.57731	
02:00:26	1.29032	6.44083	
02:00:41	1.43812	6.69266	
02:00:56	0.941564	6.32956	
02:01:11	1.57189	5.90327	
02:01:26	1.27633	6.04778	
02:01:41	1.24514	5.17838	
02:01:56	1.14629	7.08878	
02:02:11	1.20879	5.31001	
02:02:26	1.72454	4.91066	
02:02:41	1.66907	5.14823	
02:02:56	1.20395	6.24767	
02:03:11	1.12287	5.37436	
02:03:25	1.7309	6.18594	
02:03:41	1.33173	4.64428	
02:03:56	1.21665	6.52926	
02:04:11	1.28021	5.16201	
02:04:26	0.973606	5.07103	
02:04:41	1.25591	6.32597	
02:04:56	1.41594	4.85308	
02:05:11	1.3153	6.16728	
02:05:26	1.41441	4.93147	
02:05:41	1.33568	6.8661	
02:05:56	1.25794	7.6156	
02:06:11	187.528	1130.25	
02:06:26	225.941	1349.29	
02:06:41	135.343	743.625	
02:06:56	13.0758	77.1361	
02:07:11	13.3128	76.3642	
02:07:26	13.6589	78.3127	
02:07:41	14.2692	81.8598	
02:07:56	13.4493	75.541	
02:08:11	13.4142	74.4709	
02:08:26	12.2975	66.9431	
02:08:41	15.7505	82.9327	
02:08:56	12.8632	67.7991	
02:09:11	15.4268	79.5407	
02:09:26	18.8952	97.7161	
02:09:41	10.6572	44.7434	
02:09:56	2.57796	9.49182	
02:10:11	1.87097	9.35696	
02:10:26	2.10233	9.21853	
02:10:41	2.03	8.77869	
02:10:56	2.29023	9.67692	
02:11:11	1.68334	9.12641	
02:11:26	2.11463	8.9084	
02:11:41	2.0365	7.06806	
02:11:56	2.72485	10.1876	
02:12:11	1.42548	7.38442	
02:12:26	2.29695	10.7781	
02:12:40	1.54345	7.25788	
02:12:56	2.36948	7.88401	
02:13:11	2.74584	9.78505	
02:13:26	2.69031	10.0976	
02:13:41	2.70135	10.718	
02:13:56	2.58347	11.4783	
02:14:11	2.50265	9.80261	
02:14:26	2.2518	7.13502	
02:14:41	2.03515	7.91315	
02:14:56	1.93573	8.10421	
02:15:11	2.6203	12.3317	
02:15:26	2.52065	9.58752	
02:15:41	2.43593	9.6213	
02:15:56	1.84624	13.1303	
02:16:11	1.94201	11.0742	
02:16:26	2.60123	10.5985	
02:16:41	2.11812	9.88996	
02:16:56	2.69025	14.1465	
02:17:11	2.82955	10.8177	
02:17:26	15.8268	106.982	
02:17:41	119.482	814.974	
02:17:56	144.207	1017.74	
02:18:11	37.3205	245.949	
02:18:26	9.66474	67.517	
02:18:41	8.9827	59.9659	
02:18:56	9.55504	61.4221	
02:19:11	8.68646	61.56	
02:19:26	8.33257	57.1892	
02:19:40	9.67393	61.0951	
02:19:56	10.0747	64.4329	
02:20:11	9.09152	56.4595	
02:20:26	9.398	58.6558	
02:20:41	9.06154	56.7072	
02:20:56	40.6993	210.692	
02:21:11	3.57017	14.7057	
02:21:26	1.88793	8.38025	
02:21:41	1.93347	6.56935	
02:21:56	1.64205	8.72788	
02:22:11	2.04322	8.35672	
02:22:26	1.81983	8.67691	
02:22:41	2.66994	9.38764	
02:22:56	1.6378	7.83242	
02:23:11	2.19589	9.24228	
02:23:26	2.17686	8.71079	
02:23:41	1.83231	8.5863	
02:23:56	2.26648	9.91451	
02:24:11	2.65251	11.419	
02:24:26	2.13759	10.8149	
02:24:41	2.43031	7.06391	
02:24:56	2.36215	9.10029	
02:25:11	1.51605	10.687	
02:25:26	1.97811	11.6562	
02:25:41	2.39112	11.2273	
02:25:56	2.40463	11.196	
02:26:11	1.94639	8.71915	
02:26:26	1.30659	12.3359	
02:26:41	2.10669	9.24451	
02:26:56	2.26048	7.30817	
02:27:11	1.72311	7.72201	
02:27:26	1.99699	7.70139	
02:27:41	2.16832	9.92415	
02:27:56	2.01986	10.7334	
02:28:11	2.07874	10.3204	
02:28:26	1.86511	13.1365	
