Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1
00:00:10	-0.00271525	0.0206588
00:00:25	-0.00134427	0.0172722
00:00:41	0.00295406	0.0341332
00:00:55	-0.00103297	0.0256312
00:01:10	-0.00029058	0.0359949
00:01:26	-0.00114472	0.0430524
00:01:41	-0.00299892	0.0529027
00:01:56	-0.00466054	0.0470315
00:02:10	-0.000223086	0.0575586
00:02:26	0.00306902	0.0598028
00:02:41	-0.000709168	0.0644637
00:02:55	-0.00111209	0.0691129
00:03:11	0.00016936	0.0722786
00:03:26	-0.000122732	0.0613378
00:03:40	0.000835536	0.0669304
00:03:56	-0.00074374	0.0648786
00:04:10	0.000159643	0.0698288
00:04:26	0.000143497	0.0724968
00:04:41	0.000253472	0.0709067
00:04:56	0.00383504	0.0776083
00:05:11	-0.001006	0.0834825
00:05:26	0.00222376	0.0706143
00:05:41	0.00130269	0.0774103
00:05:56	-0.000420006	0.0791586
00:06:11	0.00138889	0.0723084
00:06:26	0.000638676	0.0806813
00:06:40	0.00254731	0.0911377
00:06:56	0.0030174	0.0792683
00:07:10	0.000403683	0.0971623
00:07:26	0.000599326	0.100451
00:07:40	0.0600843	0.449615
00:07:56	0.114798	0.765202
00:08:11	0.142397	0.881199
00:08:25	0.114387	0.68114
00:08:40	0.106771	0.602613
00:08:56	0.0984794	0.564411
00:09:10	0.0930876	0.529871
00:09:26	0.0897973	0.517899
00:09:41	0.0848048	0.505584
00:09:55	0.0835801	0.481539
00:10:11	0.0823326	0.469573
00:10:24	0.077715	0.462725
00:10:40	0.0760286	0.437424
00:10:56	0.0734411	0.429572
00:11:11	0.0477051	0.26966
00:11:25	-0.0022219	0.0076412
00:11:41	-0.00336752	0.00921231
00:11:54	-0.0010306	0.0097547
00:12:10	0.0011109	0.030989
00:12:26	0.000431819	0.0384585
00:12:41	-0.00543328	0.0427305
00:12:56	-0.00481774	0.0473512
00:13:11	-0.0034929	0.0408825
00:13:26	0.000917391	0.0455875
00:13:41	0.00210603	0.0540347
00:13:56	-0.00115677	0.0550219
00:14:10	-5.48E-05	0.0591731
00:14:26	-0.000200378	0.0606395
00:14:40	0.000697208	0.0527809
00:14:56	-0.00209768	0.0692116
00:15:11	-0.00144976	0.0730242
00:15:26	0.00362855	0.0735692
00:15:41	0.00129865	0.0718494
00:15:56	0.00359558	0.0733401
00:16:11	0.000474803	0.0756105
00:16:25	0.00166174	0.0714033
00:16:40	0.00118921	0.0725984
00:16:56	-0.000351756	0.0734185
00:17:10	-0.000562919	0.0759262
00:17:26	0.00133605	0.0753446
00:17:40	0.000911996	0.0811761
00:17:56	0.00133185	0.081969
00:18:10	-0.00112456	0.0860385
00:18:26	-7.53E-05	0.10267
00:18:41	0.00117116	0.0962707
00:18:56	0.00158816	0.0999684
00:19:11	0.00143562	0.0993265
00:19:25	0.0940864	0.720426
00:19:40	0.111634	0.860246
00:19:55	0.112776	0.792137
00:20:10	0.0930249	0.657268
00:20:26	0.085749	0.618864
00:20:40	0.0829122	0.589669
00:20:56	0.0760327	0.555314
00:21:10	0.0795183	0.531426
00:21:25	0.074437	0.51637
00:21:40	0.0733074	0.508597
00:21:56	0.0692909	0.492824
00:22:10	0.0671552	0.479297
00:22:26	0.0676757	0.480402
00:22:40	0.00301261	0.0141838
00:22:55	0.00153374	0.026093
00:23:11	0.00349066	0.0302032
00:23:25	0.000760752	0.0296843
00:23:40	0.00150043	0.0496405
00:23:56	0.00190681	0.0389348
00:24:10	0.00412762	0.0401367
00:24:25	0.00158063	0.0537544
00:24:41	0.00280004	0.0505397
00:24:56	0.00382529	0.0635105
00:25:11	0.00581783	0.0528237
00:25:25	-5.43E-05	0.0636192
00:25:40	0.00342513	0.0646758
00:25:55	0.00224706	0.0552926
00:26:11	0.00739204	0.0737665
00:26:24	0.00307403	0.0615128
00:26:41	0.00357807	0.0750484
00:26:56	0.0027554	0.0728145
00:27:11	0.00704906	0.0718447
00:27:25	0.00480236	0.0767045
00:27:40	0.0040768	0.0816035
00:27:55	0.00588284	0.0695572
00:28:11	0.00298377	0.0720314
00:28:26	0.00620219	0.0864976
00:28:41	0.00702099	0.0793049
00:28:56	0.00443564	0.0794807
00:29:10	0.00447854	0.0748053
00:29:25	0.00484949	0.089545
00:29:40	0.00683387	0.0829907
00:29:56	0.00509306	0.0971439
00:30:11	0.00377542	0.0867715
00:30:26	0.00837366	0.0830604
00:30:41	0.00706022	0.0923242
00:30:56	0.0776365	0.600252
00:31:11	0.0930914	0.70889
00:31:26	0.122292	0.87714
00:31:41	0.0890942	0.627318
00:31:56	0.0771074	0.550441
00:32:10	0.0742194	0.539297
00:32:26	0.0681135	0.505762
00:32:41	0.0660548	0.488675
00:32:55	0.0651636	0.471255
00:33:11	0.067333	0.455978
00:33:26	0.0593737	0.452921
00:33:41	0.0609049	0.438123
00:33:56	0.0576958	0.413507
00:34:11	0.0561956	0.421336
00:34:26	0.0154011	0.107636
00:34:41	0.00202477	0.0196165
00:34:56	0.00387374	0.0218186
00:35:11	0.00608647	0.0323104
00:35:26	0.00372318	0.0396746
00:35:41	0.00110838	0.0409348
00:35:56	-0.000102406	0.0541901
00:36:11	0.00147034	0.0561812
00:36:26	0.00263927	0.0452019
00:36:40	0.00651781	0.0585402
00:36:56	0.00916424	0.0630442
00:37:10	0.00322548	0.0725246
00:37:25	0.00576239	0.0659138
00:37:41	0.00244784	0.0745324
00:37:55	0.00607942	0.0638571
00:38:11	0.00400947	0.0714176
00:38:26	0.00423177	0.0713259
00:38:41	0.00295191	0.0675502
00:38:56	0.00142974	0.0702253
00:39:10	0.00318784	0.0709193
00:39:26	0.00463836	0.0698509
00:39:41	0.00550919	0.0785199
00:39:56	0.00472991	0.07737
00:40:10	0.00566485	0.074712
00:40:26	0.00530964	0.0765817
00:40:41	0.00530236	0.0718866
00:40:56	0.00820547	0.0875557
00:41:10	0.00790869	0.0727308
00:41:25	0.00331704	0.0912278
00:41:40	0.0064686	0.078584
00:41:55	0.00723926	0.089626
00:42:10	0.00501315	0.0787317
00:42:26	0.00538719	0.0850082
00:42:41	0.0284976	0.242673
00:42:56	0.0828218	0.641185
00:43:11	0.0969096	0.791069
00:43:26	0.0879969	0.64186
00:43:40	0.0726133	0.529707
00:43:56	0.0654629	0.505012
00:44:10	0.0608322	0.487845
00:44:25	0.0591072	0.435435
00:44:40	0.0569472	0.453027
00:44:55	0.0574132	0.433314
00:45:11	0.0537904	0.409821
00:45:26	0.0527362	0.410067
00:45:41	0.0473644	0.400419
00:45:55	0.0489943	0.393685
00:46:11	0.0252202	0.158897
00:46:26	0.00378926	0.00890133
00:46:41	0.00111258	0.0241819
00:46:56	0.00203234	0.023718
00:47:11	0.00449394	0.0246946
00:47:26	0.00480862	0.046401
00:47:40	0.00244745	0.044564
00:47:55	0.000396101	0.0525583
