Relative Time	Peak at 1592 cm-1	Peak at 1710 cm-1
00:00:10	-0.0025586	0.00349626
00:00:25	-0.00226961	0.00977203
00:00:41	-0.000841652	0.00825386
00:00:55	-0.00114417	0.00972246
00:01:10	-0.00156259	0.00505229
00:01:26	-0.00197765	0.0113428
00:01:41	-0.00226382	0.00664449
00:01:56	-0.00212899	0.0117496
00:02:10	-0.0014801	0.0106875
00:02:26	-0.000843646	0.00893481
00:02:41	-0.000637201	0.009994
00:02:55	-0.00143881	0.00992646
00:03:11	-0.000621681	0.0124859
00:03:26	-0.00138962	0.012831
00:03:40	-0.00161777	0.0132477
00:03:56	-0.0012985	0.0129693
00:04:10	-0.00121752	0.0113145
00:04:26	-0.00117853	0.0138605
00:04:41	-0.00124433	0.00956561
00:04:56	-0.000588062	0.01062
00:05:11	-0.000978475	0.0128768
00:05:26	-0.000965038	0.0143163
00:05:41	-0.000682471	0.0142179
00:05:56	-0.00181909	0.0142702
00:06:11	-0.00107876	0.0134674
00:06:26	-0.00101406	0.0161284
00:06:40	-0.000542095	0.0134494
00:06:56	0.000154803	0.0147412
00:07:10	-0.00056557	0.0179328
00:07:26	-0.00124586	0.0170132
00:07:40	0.0150678	0.0805966
00:07:56	0.0295886	0.130539
00:08:11	0.0378752	0.151412
00:08:25	0.0299237	0.115061
00:08:40	0.0272287	0.102921
00:08:56	0.025195	0.0999671
00:09:10	0.0238414	0.0946723
00:09:26	0.0231383	0.0880612
00:09:41	0.0215015	0.0862443
00:09:55	0.02183	0.0839704
00:10:11	0.0206956	0.0797091
00:10:24	0.0197942	0.0781821
00:10:40	0.0192527	0.0757988
00:10:56	0.0181483	0.0728303
00:11:11	0.0124232	0.0536713
00:11:25	-0.00101479	0.00480405
00:11:41	-0.00279265	0.00696946
00:11:54	-0.00175006	0.0054165
00:12:10	-0.00112373	0.0077767
00:12:26	-0.00103065	0.0057826
00:12:41	-0.00249208	0.00806588
00:12:56	-0.00250387	0.00823163
00:13:11	-0.00244398	0.0093146
00:13:26	-0.00139464	0.00956362
00:13:41	-0.00103217	0.0116871
00:13:56	-0.00172284	0.0119374
00:14:10	-0.0014828	0.0121416
00:14:26	-0.0014279	0.0106272
00:14:40	-0.00120823	0.0102014
00:14:56	-0.00175672	0.0108696
00:15:11	-0.00136472	0.0122159
00:15:26	-0.000765977	0.0103417
00:15:41	-0.000385035	0.0138075
00:15:56	-3.29E-05	0.0127544
00:16:11	-0.00193078	0.0146135
00:16:25	-0.000604826	0.0148969
00:16:40	-0.00131471	0.0119976
00:16:56	-0.00191702	0.0150659
