Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1
00:00:11	0.00751062	0.0675533
00:00:26	0.00836287	0.0646375
00:00:41	0.00780945	0.0592913
00:00:56	0.00607236	0.0698507
00:01:11	0.0062409	0.0641362
00:01:26	0.0103165	0.0587056
00:01:41	0.00762882	0.0598569
00:01:56	0.00884592	0.0652095
00:02:11	0.00610093	0.0611201
00:02:26	0.0114266	0.0612159
00:02:41	0.00851363	0.0640507
00:02:56	0.00863866	0.0535825
00:03:11	0.00473284	0.0627205
00:03:26	-0.000436564	0.00930459
00:03:41	0.00138469	0.0105484
00:03:56	0.00539824	0.0439582
00:04:11	0.00854189	0.0678982
00:04:26	0.00701145	0.0629984
00:04:41	0.0106347	0.0520057
00:04:56	0.0144292	0.0635612
00:05:11	0.00843512	0.0588687
00:05:26	0.0124623	0.073789
00:05:41	0.00995435	0.0607187
00:05:56	0.00699031	0.0685388
00:06:11	0.010485	0.0690975
00:06:26	0.0068433	0.0713006
00:06:41	0.0119115	0.0615453
00:06:56	0.00945462	0.0677291
00:07:11	0.0124673	0.0815923
00:07:26	0.0109867	0.0713007
00:07:41	0.00934135	0.0719043
00:07:56	0.00975881	0.0697201
00:08:11	0.0139854	0.0765961
00:08:26	0.0136238	0.0653397
00:08:41	0.0123757	0.0834168
00:08:56	0.0125517	0.0719844
00:09:11	0.00611421	0.0729238
00:09:25	0.0101994	0.0719146
00:09:41	0.0137608	0.0826106
00:09:56	0.0140769	0.0902658
00:10:11	0.00952435	0.0857012
00:10:26	0.012074	0.0829022
00:10:41	0.0111841	0.086751
00:10:56	0.0145489	0.093105
00:11:11	0.0103928	0.108113
00:11:26	0.0278952	0.169394
00:11:41	0.222574	1.38718
00:11:56	0.0877151	0.528974
00:12:11	0.0837219	0.514918
00:12:25	0.0821582	0.502121
00:12:41	0.0835069	0.497366
00:12:56	0.0829213	0.475726
00:13:11	0.0802435	0.483563
00:13:26	0.0827231	0.473853
00:13:41	0.0792033	0.465249
00:13:57	0.0770914	0.435766
00:14:11	0.0819369	0.430383
00:14:26	0.0777413	0.424351
00:14:42	0.0760197	0.412017
00:14:56	0.0482444	0.215971
00:15:11	0.0174744	0.104563
00:15:25	0.0159221	0.0913768
00:15:41	0.017315	0.0816295
00:15:56	0.0154823	0.0963591
00:16:11	0.0167325	0.104359
00:16:26	0.0152095	0.0928639
