Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1	Annotations
08:10:11	0.0245602	0.291561	
08:10:27	0.0278601	0.294868	
08:10:42	0.0209533	0.280162	
08:10:57	0.0245576	0.27748	
08:11:12	0.0237315	0.267731	
08:11:27	0.0232969	0.27129	
08:11:42	0.0282845	0.262925	
08:11:56	0.0247145	0.269307	
08:12:12	0.0247246	0.264172	
08:12:27	0.0252358	0.25804	
08:12:42	0.000223679	0.0155791	
08:12:56	-0.000535066	0.0466641	
08:13:12	0.00417836	0.0500674	
08:13:26	0.00615324	0.0632517	
08:13:41	0.00379795	0.050705	
08:13:56	0.00906429	0.0689827	
08:14:11	0.00631528	0.0748237	
08:14:26	0.0102293	0.080685	
08:14:41	0.00366261	0.0911406	
08:14:56	0.00815899	0.0775002	
08:15:11	0.00880897	0.109332	
08:15:27	0.0125027	0.0950727	
08:15:42	0.0121886	0.0995321	
08:15:57	0.0090726	0.110193	
08:16:11	0.0106225	0.104942	
08:16:27	0.0120285	0.101481	
08:16:42	0.0128503	0.0978553	
08:16:57	0.0118221	0.111809	
08:17:11	0.0104508	0.101879	
08:17:27	0.0187685	0.106748	
08:17:41	0.0128624	0.117783	
08:17:57	0.0126159	0.121969	
08:18:12	0.0119794	0.112205	
08:18:27	0.0150626	0.111273	
08:18:42	0.0162825	0.13898	
08:18:57	0.013646	0.117775	
08:19:12	0.0171714	0.132522	
08:19:26	0.0148274	0.121334	
08:19:41	0.0127574	0.145805	
08:19:56	0.0181061	0.136662	
08:20:11	0.0152435	0.14057	
08:20:26	0.0162475	0.148467	
08:20:41	0.100399	0.612313	
08:20:56	0.165779	0.946361	
08:21:11	0.109749	0.620008	
08:21:26	0.09954	0.556818	
08:21:42	0.0962109	0.543196	
08:21:57	0.0964377	0.522713	
08:22:12	0.0956278	0.524747	
08:22:27	0.0964343	0.508493	
08:22:42	0.0937331	0.502711	
08:22:56	0.0928495	0.495731	
08:23:11	0.0935433	0.497086	
08:23:26	0.0904198	0.48426	
08:23:41	0.08773	0.473144	
08:23:56	0.062345	0.289348	
08:24:12	0.00715468	0.043729	
08:24:27	0.0090686	0.0546442	
08:24:41	0.00627334	0.0654461	
08:24:57	0.0088255	0.0833527	
08:25:12	0.0069817	0.0804893	
08:25:27	0.00927508	0.0725575	
08:25:41	0.0113793	0.0860721	
08:25:57	0.0100884	0.0935658	
08:26:11	0.0129993	0.0908139	
08:26:26	0.0122944	0.0973357	
08:26:41	0.0148951	0.108387	
08:26:56	0.0109637	0.102552	
08:27:12	0.0120086	0.113069	
08:27:27	0.0127607	0.105108	
08:27:42	0.0146988	0.114495	
08:27:57	0.0137243	0.108479	
08:28:12	0.0160823	0.106192	
08:28:27	0.0166068	0.114321	
08:28:42	0.0185469	0.115155	
08:28:57	0.0155547	0.117454	
08:29:12	0.0151849	0.125054	
08:29:27	0.0146666	0.118836	
08:29:42	0.0170104	0.123719	
08:29:57	0.0188253	0.112637	
08:30:11	0.0141252	0.127282	
08:30:26	0.0193906	0.132196	
08:30:42	0.0155798	0.132866	
08:30:57	0.0161439	0.132287	
08:31:12	0.0172179	0.135792	
08:31:27	0.0158559	0.1381	
08:31:41	0.0224497	0.178877	
08:31:56	0.0741672	0.561607	
08:32:11	0.0820388	0.609167	
08:32:26	0.0704294	0.512159	
08:32:41	0.0638541	0.452319	
08:32:57	0.0632537	0.444754	
08:33:12	0.0603168	0.446677	
08:33:27	0.0597219	0.4316	
08:33:41	0.0617299	0.429214	
08:33:57	0.0623157	0.417585	
08:34:12	0.0603353	0.411216	
08:34:27	0.0600547	0.400907	
08:34:42	0.0553866	0.405664	
08:34:57	0.0593544	0.389944	
08:35:12	0.0066671	0.0563412	
08:35:27	0.00645355	0.0570388	
08:35:41	0.00674462	0.0701123	
08:35:57	0.00623559	0.0601882	
08:36:12	0.0109355	0.0665854	
08:36:27	0.00899476	0.0815759	
08:36:42	0.00746638	0.0682802	
08:36:57	0.00617066	0.083323	
08:37:12	0.00971939	0.0870033	
08:37:27	0.00964738	0.0873741	
08:37:42	0.0135046	0.0939226	
08:37:56	0.0103218	0.0879476	
08:38:11	0.00974711	0.101501	
08:38:26	0.0103748	0.102358	
08:38:41	0.0133605	0.104589	
08:38:56	0.0120262	0.101755	
08:39:12	0.0133417	0.10387	
