Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1
00:25:56	0.0172286	0.0585307
00:26:12	0.00620098	0.0607088
00:26:27	0.00424944	0.0677228
00:26:42	0.00864854	0.0618464
00:26:57	0.00546276	0.0683569
00:27:12	0.00780786	0.0814585
00:27:27	0.00859119	0.0929087
00:27:41	0.00971671	0.0827659
00:27:57	0.0107809	0.0908801
00:28:12	0.0103439	0.0928493
00:28:27	0.0120239	0.100253
00:28:42	0.0117757	0.0941458
00:28:57	0.0120095	0.113442
00:29:12	0.0116152	0.0940021
00:29:26	0.0109581	0.103554
00:29:41	0.0138577	0.105723
00:29:57	0.011443	0.123978
00:30:12	0.0113038	0.116556
00:30:26	0.0117772	0.109243
00:30:41	0.0123952	0.121593
00:30:56	0.0126958	0.107125
00:31:11	0.014447	0.120365
00:31:26	0.0122969	0.124632
00:31:41	0.0162082	0.121937
00:31:56	0.0157137	0.119117
00:32:11	0.0146031	0.128772
00:32:26	0.0163786	0.120609
00:32:42	0.0179631	0.139227
00:32:56	0.0174531	0.144538
00:33:11	0.0148778	0.131068
00:33:26	0.0166682	0.13456
00:33:42	0.0185503	0.138235
00:33:57	0.0904144	0.605301
00:34:12	0.107362	0.745822
00:34:27	0.094004	0.654338
00:34:42	0.0895144	0.611835
00:34:57	0.0849364	0.593083
00:35:12	0.0866152	0.568803
00:35:27	0.0828008	0.562196
00:35:42	0.0820522	0.546426
00:35:56	0.0813335	0.543047
00:36:12	0.0790731	0.532755
00:36:26	0.0790335	0.521089
00:36:42	0.0774853	0.520134
00:36:57	0.077719	0.511344
00:37:12	0.0708531	0.450039
00:37:26	-0.00146912	0.0357537
00:37:41	0.0055173	0.0589122
00:37:56	0.00429843	0.0688852
00:38:11	0.00459505	0.0731893
00:38:26	0.00585468	0.0744017
00:38:41	0.00437635	0.0872142
00:38:56	0.00920386	0.0901704
00:39:11	0.00819413	0.0930238
00:39:27	0.00760423	0.0932234
00:39:41	0.00949245	0.093457
00:39:56	0.0115843	0.103487
00:40:12	0.011171	0.109528
00:40:27	0.0127651	0.116876
00:40:42	0.01026	0.106261
00:40:57	0.0131004	0.1179
00:41:12	0.0115596	0.119435
00:41:27	0.0130107	0.10609
00:41:42	0.0138515	0.128634
00:41:57	0.0146662	0.121095
00:42:12	0.014191	0.12417
00:42:27	0.014956	0.113153
00:42:42	0.015453	0.126053
00:42:57	0.0130111	0.122358
00:43:12	0.0151028	0.13647
00:43:27	0.0128722	0.135949
00:43:42	0.0148709	0.142969
00:43:57	0.0182427	0.124806
00:44:11	0.0197447	0.136882
00:44:26	0.0140937	0.150284
00:44:41	0.0155774	0.158493
00:44:56	0.0183294	0.150607
00:45:11	0.0754841	0.567679
00:45:26	0.0908109	0.661378
00:45:42	0.0945146	0.68769
00:45:56	0.0784954	0.577301
00:46:12	0.0757188	0.533994
00:46:27	0.0738685	0.522462
00:46:42	0.0693786	0.515475
00:46:57	0.0755051	0.493888
00:47:12	0.071281	0.485384
00:47:27	0.0683205	0.480371
00:47:42	0.0687574	0.470612
00:47:57	0.0709821	0.468931
00:48:12	0.0675553	0.459348
00:48:26	0.0523132	0.355525
00:48:42	0.000186172	0.00277683
00:48:57	0.00448407	0.049831
00:49:11	0.00457281	0.0493932
00:49:27	0.00465906	0.0588151
00:49:42	0.00286228	0.0680369
00:49:57	0.00211036	0.0568718
00:50:12	0.00593619	0.0777566
00:50:27	0.00407456	0.0852583
00:50:42	0.00802229	0.0653689
00:50:56	0.00643156	0.0821715
00:51:12	0.00947205	0.0891918
00:51:26	0.00515796	0.0949397
00:51:41	0.0107126	0.093909
00:51:56	0.011724	0.0993334
00:52:11	0.0119672	0.10362
00:52:26	0.0130005	0.0975335
00:52:41	0.0111807	0.106506
00:52:57	0.0120263	0.109991
00:53:12	0.0135199	0.104705
00:53:27	0.0138677	0.0970315
00:53:42	0.012016	0.116771
00:53:57	0.0118952	0.11909
00:54:11	0.0121139	0.121932
00:54:27	0.0159558	0.101382
00:54:42	0.0153008	0.112813
00:54:57	0.0118014	0.120944
00:55:12	0.0170092	0.123478
00:55:27	0.0155114	0.120088
00:55:42	0.013588	0.133008
00:55:57	0.0152039	0.133674
00:56:12	0.0146104	0.133026
00:56:27	0.0155687	0.135424
00:56:42	0.0754192	0.551805
00:56:57	0.106605	0.802941
00:57:12	0.0659174	0.544652
00:57:27	0.0669635	0.519243
00:57:41	0.0627375	0.500602
00:57:57	0.0613669	0.477229
00:58:11	0.05648	0.466816
00:58:26	0.0592079	0.463478
00:58:41	0.0591147	0.438318
00:58:56	0.0570362	0.437874
00:59:11	0.060504	0.425549
00:59:26	0.0610845	0.431876
00:59:41	0.0557992	0.444456
00:59:57	0.0393852	0.301464
01:00:12	-0.00174095	0.0169836
01:00:25	0.00263677	0.0367821
01:00:41	0.00378591	0.0531627
01:00:57	0.0041631	0.0666669
01:01:11	0.0059824	0.0725462
01:01:27	0.00597313	0.0754572
01:01:41	0.00565046	0.0863021
01:01:56	0.00651745	0.0764119
01:02:11	0.00753688	0.0874607
01:02:27	0.00881946	0.0744033
01:02:41	0.00678734	0.0902654
01:02:57	0.00903594	0.0925201
01:03:12	0.010865	0.106449
01:03:27	0.0107616	0.113996
01:03:42	0.00993049	0.110795
01:03:57	0.0109232	0.112576
01:04:12	0.0123011	0.101918
01:04:27	0.0169678	0.102547
01:04:42	0.0128114	0.11493
01:04:56	0.0113116	0.112179
01:05:11	0.0128856	0.119186
01:05:26	0.0113433	0.110283
01:05:41	0.0156017	0.119107
01:05:56	0.0101062	0.118967
01:06:10	0.00930956	0.117738
01:06:26	0.0137554	0.125734
01:06:41	0.011582	0.128312
01:06:56	0.0133331	0.129655
01:07:12	0.0158038	0.134058
01:07:26	0.0132839	0.129801
01:07:42	0.0193178	0.140292
01:07:56	0.0587086	0.509803
01:08:12	0.0856149	0.690214
01:08:26	0.061204	0.515694
01:08:41	0.0531736	0.465726
01:08:57	0.0535909	0.447655
01:09:12	0.0557713	0.446341
01:09:26	0.0533352	0.434114
01:09:42	0.0555594	0.432532
01:09:57	0.0536137	0.405837
01:10:11	0.0544542	0.401759
01:10:27	0.0505895	0.403497
01:10:42	0.0480538	0.397118
01:10:56	0.0502875	0.400515
01:11:11	0.0508831	0.399088
01:11:26	-0.00127451	0.0277266
01:11:41	0.00687693	0.0540273
01:11:56	0.00460966	0.0549585
01:12:11	0.00331026	0.0673777
01:12:26	0.00135719	0.0659783
01:12:41	0.00447764	0.0887983
01:12:56	0.00703536	0.0768836
01:13:11	0.00683654	0.0808452
01:13:27	0.00534488	0.0813891
01:13:42	0.00964336	0.104875
01:13:57	0.00581267	0.106816
01:14:12	0.00984909	0.0982409
01:14:27	0.00967575	0.101328
01:14:42	0.0153357	0.0979942
01:14:57	0.00931064	0.122349
01:15:12	0.0137259	0.106609
01:15:27	0.0145535	0.124519
01:15:42	0.0116283	0.113929
01:15:56	0.0120182	0.121787
01:16:12	0.0105593	0.118062
01:16:27	0.0146094	0.125594
01:16:41	0.00937028	0.126144
01:16:57	0.015734	0.12678
01:17:12	0.0104563	0.123529
01:17:27	0.0141855	0.124678
01:17:41	0.0144132	0.133271
01:17:57	0.0144008	0.129534
01:18:11	0.013947	0.127791
01:18:26	0.0138174	0.139533
01:18:41	0.0123142	0.138721
01:18:57	0.0130371	0.148302
01:19:11	0.0316393	0.313032
01:19:26	0.0665368	0.532167
01:19:41	0.0719163	0.643651
01:19:57	0.0463965	0.434899
01:20:12	0.0475011	0.4298
01:20:27	0.0499321	0.393201
01:20:41	0.0461641	0.40184
01:20:56	0.0482466	0.385899
01:21:11	0.0454853	0.375935
01:21:26	0.0469319	0.385522
01:21:42	0.0443323	0.367541
01:21:57	0.0452775	0.376599
01:22:12	0.0476318	0.355118
01:22:26	0.0430339	0.358557
01:22:41	-0.000949933	0.0249423
01:22:56	0.00112564	0.0406058
01:23:11	0.00427169	0.0533994
01:23:27	0.00409805	0.067441
01:23:41	0.00417972	0.0625706
01:23:56	0.00503638	0.0801044
01:24:12	0.00613402	0.0701947
01:24:27	0.00460314	0.0689339
01:24:41	0.00353239	0.0785183
01:24:56	0.00995232	0.0789745
01:25:11	0.00769765	0.0863558
01:25:26	0.00850535	0.0798766
01:25:41	0.00213144	0.0852736
01:25:55	0.00656261	0.103471
01:26:11	0.00976213	0.0934477
01:26:26	0.00797642	0.102534
01:26:41	0.00865807	0.113178
01:26:56	0.00750759	0.099966
01:27:12	0.00861974	0.104797
01:27:26	0.00685883	0.1112
01:27:42	0.0125631	0.111686
01:27:57	0.00924921	0.106245
01:28:12	0.0114553	0.103535
01:28:26	0.011399	0.115281
01:28:42	0.011878	0.11535
01:28:57	0.00781936	0.109753
01:29:12	0.00934531	0.121559
01:29:27	0.0099986	0.113625
01:29:42	0.0111467	0.116907
01:29:57	0.00993266	0.116152
01:30:12	0.00926209	0.123512
01:30:27	0.016184	0.172444
01:30:42	0.04513	0.452649
01:30:57	0.0557346	0.540079
01:31:12	0.036795	0.391355
01:31:26	0.0403903	0.375449
01:31:42	0.0379255	0.360896
01:31:57	0.0383547	0.344472
01:32:12	0.0363459	0.355085
01:32:27	0.0401722	0.340505
01:32:41	0.036797	0.345327
01:32:56	0.0358121	0.338618
01:33:11	0.0363717	0.332703
01:33:26	0.0382791	0.319032
01:33:41	0.0357973	0.324064
01:33:57	0.00510547	0.0819079
01:34:11	0.00023546	0.0380264
01:34:25	-0.000194762	0.0548249
01:34:41	0.00269018	0.0647863
01:34:57	0.00161276	0.0689457
01:35:12	0.00549546	0.0612544
01:35:27	0.00615672	0.0709202
01:35:42	0.00458197	0.0789345
01:35:57	0.00501509	0.0771495
01:36:12	0.0089693	0.0860546
01:36:26	0.00986692	0.0854488
01:36:41	0.00542097	0.0949226
01:36:57	0.00829889	0.104683
01:37:11	0.00934155	0.098844
01:37:27	0.00868911	0.101176
01:37:42	0.00819647	0.104034
01:37:57	0.0081526	0.10599
01:38:12	0.00844832	0.111577
01:38:27	0.00837949	0.113395
01:38:42	0.0130098	0.113614
01:38:57	0.011487	0.109107
01:39:12	0.0120168	0.109878
01:39:27	0.0111224	0.115945
01:39:41	0.00956246	0.108907
01:39:56	0.00945465	0.109238
01:40:11	0.00870533	0.119968
01:40:26	0.00881874	0.126175
01:40:41	0.0100706	0.1244
01:40:56	0.0110385	0.133869
01:41:11	0.00841067	0.137654
01:41:27	0.0152542	0.119643
01:41:41	0.0119578	0.131109
01:41:57	0.0376616	0.391053
01:42:11	0.0409885	0.452237
01:42:26	0.0377049	0.417347
01:42:42	0.0292978	0.33439
01:42:57	0.0290161	0.329207
01:43:12	0.0293156	0.318424
01:43:27	0.0277314	0.311127
01:43:42	0.0262897	0.309594
01:43:57	0.0272778	0.301867
01:44:12	0.0252316	0.296153
01:44:27	0.0272098	0.296893
01:44:41	0.0285939	0.292866
01:44:56	0.0303952	0.2795
01:45:12	0.026775	0.288676
01:45:26	0.00452257	0.0783858
01:45:42	-7.70E-05	0.0382092
01:45:57	0.000920723	0.056577
01:46:12	0.000184203	0.0640955
01:46:26	0.00355085	0.0745896
01:46:41	0.00666465	0.0760666
01:46:56	0.00279679	0.0777024
01:47:11	0.00581138	0.0808781
01:47:26	0.00461253	0.0818924
01:47:41	0.0110644	0.0808629
01:47:56	0.0102281	0.0880427
01:48:11	0.00919173	0.102812
01:48:27	0.00918393	0.0991449
01:48:41	0.00953003	0.105779
01:48:57	0.00899531	0.0960669
01:49:12	0.00961222	0.103233
01:49:27	0.0108899	0.101072
01:49:41	0.0103183	0.106788
01:49:57	0.0101171	0.111588
01:50:12	0.0136165	0.112869
01:50:27	0.0139434	0.129934
01:50:41	0.00846565	0.122022
01:50:57	0.0120654	0.119747
01:51:11	0.0132639	0.124445
01:51:26	0.0146556	0.117119
01:51:42	0.0102297	0.12657
01:51:57	0.0143213	0.122064
01:52:12	0.0138697	0.12247
01:52:27	0.013996	0.121658
01:52:41	0.015082	0.130673
01:52:57	0.0176346	0.128018
01:53:12	0.0139029	0.129161
01:53:27	0.0146877	0.178037
01:53:42	0.0274833	0.372208
01:53:57	0.0379242	0.498568
01:54:12	0.0237443	0.304574
01:54:26	0.0217449	0.311478
01:54:41	0.0253047	0.294102
01:54:56	0.0224101	0.303787
01:55:11	0.0250981	0.29586
01:55:26	0.0207217	0.289706
01:55:42	0.0222255	0.278286
01:55:57	0.0245688	0.283566
01:56:12	0.0196913	0.270445
01:56:27	0.0233264	0.273153
01:56:42	0.0233406	0.288938
01:56:57	-0.0029892	-0.000244708
01:57:11	0.00140262	0.052714
01:57:26	0.00149481	0.0562961
01:57:42	0.00326956	0.0675368
01:57:57	0.00585895	0.0755779
01:58:12	0.00445901	0.0768849
