Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1	Annotations
00:00:11	0.0145078	0.109729	
00:00:26	0.011967	0.095674	
00:00:41	0.017355	0.100079	
00:00:56	0.0172618	0.1098	
00:01:11	0.0176526	0.0970663	
00:01:26	0.0157512	0.125811	
00:01:41	0.0193236	0.1072	
00:01:56	0.0202898	0.105248	
00:02:11	0.0179571	0.110331	
00:02:25	0.0208223	0.123455	
00:02:41	0.0204645	0.113173	
00:02:56	0.0174802	0.104	
00:03:11	0.0214102	0.112765	
00:03:26	0.0168309	0.114858	
00:03:41	0.0182361	0.122637	
00:03:56	0.0204369	0.114668	
00:04:11	0.0204492	0.111822	
00:04:26	0.0201975	0.131823	
00:04:41	0.0212812	0.12635	
00:04:56	0.0197185	0.136005	
00:05:11	0.0184442	0.117373	
00:05:26	0.152149	0.867153	
00:05:41	0.216199	1.21149	
00:05:56	0.165978	0.920606	
00:06:11	0.0973319	0.522476	
00:06:26	0.0959474	0.519893	
00:06:41	0.0906313	0.498767	
00:06:56	0.0902246	0.455318	
00:07:11	0.0898348	0.47276	
00:07:26	0.0889475	0.45893	
00:07:41	0.0855178	0.456503	
00:07:56	0.0893449	0.443077	
00:08:11	0.0827076	0.419453	
00:08:26	0.0828183	0.416174	
00:08:41	0.09596	0.454189	
00:08:56	0.0225161	0.105356	
00:09:11	0.0172376	0.0873857	
00:09:26	0.0199198	0.112416	
00:09:41	0.0186832	0.103296	
00:09:56	0.0186906	0.106445	
00:10:11	0.018467	0.108928	
00:10:26	0.0205671	0.110761	
00:10:40	0.0212573	0.125177	
00:10:56	0.0234011	0.109886	
00:11:11	0.0223162	0.132558	
00:11:26	0.0240658	0.123871	
00:11:41	0.022528	0.121754	
00:11:56	0.0226991	0.122064	
00:12:11	0.0212364	0.12304	
00:12:26	0.0236311	0.128152	
00:12:41	0.0213065	0.128317	
00:12:56	0.0276196	0.12043	
00:13:11	0.0244456	0.118165	
00:13:26	0.022926	0.127768	
00:13:41	0.0231704	0.125098	
00:13:56	0.0239088	0.142664	
00:14:11	0.0216134	0.130993	
00:14:26	0.0252058	0.137911	
00:14:41	0.0254043	0.134879	
00:14:56	0.0242801	0.138363	
00:15:11	0.0244288	0.134851	
00:15:26	0.0242818	0.134561	
00:15:41	0.0274323	0.142976	
00:15:56	0.0233973	0.146796	
00:16:11	0.0245376	0.151022	
00:16:27	0.0234284	0.145098	
00:16:41	0.0708318	0.475814	
00:16:56	0.152133	1.06919	
00:17:11	0.158424	1.1187	
