Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1	Annotations
08:06:11	0.0146505	0.121386	
08:06:25	0.0154138	0.11757	
08:06:41	0.0160431	0.118845	
08:06:56	0.0164321	0.120911	
08:07:11	0.0136406	0.119968	
08:07:26	0.0160604	0.113264	
08:07:41	0.0185993	0.128715	
08:07:56	0.015039	0.129832	
08:08:11	0.0176434	0.129412	
08:08:26	0.0177988	0.130886	
08:08:41	0.0197816	0.122873	
08:08:56	0.0169514	0.126897	
08:09:11	0.0177732	0.133706	
08:09:26	0.0191911	0.127094	
08:09:41	0.0172919	0.133754	
08:09:56	0.0191082	0.139807	
08:10:11	0.0205086	0.138791	
08:10:26	0.108573	0.652413	
08:10:41	0.210438	1.21085	
08:10:56	0.188744	1.07599	
08:11:11	0.100538	0.561415	
08:11:26	0.0995011	0.547583	
08:11:41	0.0993496	0.530546	
08:11:56	0.0934609	0.50822	
08:12:11	0.091997	0.500263	
08:12:26	0.094566	0.487322	
08:12:41	0.0917139	0.466392	
08:12:56	0.088341	0.449966	
08:13:11	0.0872679	0.44514	
08:13:26	0.0831154	0.444481	
08:13:41	0.0630888	0.308055	
08:13:56	0.00720232	0.0224822	
08:14:11	0.00615977	0.0724784	
08:14:26	0.0107741	0.0705876	
08:14:41	0.00821568	0.0769907	
08:14:56	0.0099635	0.0759209	
08:15:11	0.00816376	0.0863759	
08:15:26	0.0112968	0.0978413	
08:15:41	0.0114356	0.102947	
08:15:56	0.0143733	0.0977959	
08:16:11	0.0151075	0.104926	
08:16:26	0.0172552	0.111152	
08:16:41	0.0171515	0.111213	
08:16:56	0.015729	0.108858	
08:17:11	0.0192657	0.113352	
08:17:26	0.0197644	0.112865	
08:17:41	0.0174285	0.126465	
08:17:56	0.018066	0.124781	
08:18:11	0.0178247	0.136379	
08:18:26	0.0186635	0.128814	
08:18:42	0.0198788	0.137255	
08:18:57	0.0220886	0.127053	
08:19:11	0.0191966	0.130716	
08:19:25	0.0193479	0.134436	
08:19:41	0.0247965	0.135181	
08:19:56	0.0187967	0.14863	
08:20:11	0.022188	0.14385	
08:20:26	0.0238611	0.14509	
08:20:41	0.0237762	0.146935	
08:20:56	0.0235314	0.145699	
08:21:11	0.0223597	0.140075	
08:21:26	0.0255929	0.154314	
08:21:41	0.0379238	0.244941	
08:21:56	0.0906092	0.634414	
08:22:11	0.109487	0.766841	
08:22:26	0.0800459	0.548902	
08:22:41	0.0765363	0.525506	
08:22:56	0.0798737	0.520188	
08:23:11	0.0755892	0.503042	
08:23:26	0.0772861	0.483864	
08:23:41	0.0740924	0.484548	
08:23:56	0.0749158	0.469657	
08:24:11	0.0719267	0.471027	
08:24:26	0.0700307	0.461368	
08:24:42	0.0726914	0.447785	
08:24:56	0.0766072	0.479036	
08:25:11	0.00376044	0.0461895	
08:25:26	0.00845742	0.061643	
08:25:41	0.00977306	0.068281	
08:25:56	0.00905434	0.0624426	
08:26:11	0.00783457	0.0753692	
08:26:26	0.0126587	0.086432	
08:26:41	0.0106923	0.0861605	
08:26:56	0.0137674	0.105437	
08:27:12	0.0150744	0.0960241	
08:27:26	0.010924	0.101329	
08:27:41	0.0105965	0.0903044	
08:27:56	0.012863	0.112389	
08:28:11	0.0152902	0.123861	
08:28:26	0.0195077	0.112775	
08:28:41	0.0168656	0.109849	
08:28:56	0.0176768	0.12368	
08:29:11	0.0184377	0.120877	
08:29:26	0.0207912	0.113203	
08:29:41	0.0166458	0.118661	
08:29:56	0.0189675	0.141428	
08:30:11	0.0165004	0.127864	
08:30:27	0.0184085	0.121271	
08:30:42	0.0176025	0.138731	
08:30:56	0.0195232	0.136259	
08:31:11	0.0214984	0.14163	
08:31:26	0.0206273	0.131846	
08:31:41	0.0182683	0.142418	
08:31:56	0.0211739	0.137973	
08:32:11	0.0228006	0.133793	
08:32:26	0.0240154	0.14579	
08:32:41	0.0248704	0.146604	
08:32:56	0.0177517	0.147204	
08:33:11	0.0495911	0.388749	
08:33:26	0.0734662	0.553397	
08:33:41	0.0827751	0.634152	
08:33:57	0.0600024	0.469715	
08:34:11	0.0568441	0.454114	
08:34:25	0.05519	0.428294	
08:34:41	0.0621974	0.412518	
08:34:56	0.0526759	0.393025	
08:35:10	0.0569701	0.40464	
08:35:26	0.055537	0.390885	
08:35:41	0.0559642	0.384678	
08:35:56	0.0581188	0.390752	
08:36:11	0.0542214	0.39471	
08:36:26	0.0540925	0.379323	
08:36:41	0.0247873	0.177141	
08:36:56	0.00786474	0.0773899	
08:37:11	0.0106779	0.08663	
08:37:26	0.0104988	0.0914238	
08:37:41	0.0128805	0.0917515	
08:37:56	0.0150639	0.108942	
08:38:11	0.0131992	0.0966345	
08:38:26	0.0150566	0.0995601	
08:38:41	0.0166257	0.117437	
08:38:56	0.0149109	0.104385	
08:39:11	0.0148419	0.113929	
08:39:26	0.015127	0.10729	
08:39:41	0.016262	0.127341	
08:39:56	0.0174322	0.12123	
08:40:11	0.0169719	0.141997	
08:40:26	0.0179096	0.126687	
08:40:41	0.0167879	0.119611	
08:40:56	0.017825	0.12878	
08:41:11	0.0192765	0.126659	
08:41:26	0.0198674	0.1164	
08:41:41	0.0166959	0.12938	
08:41:56	0.0178708	0.132549	
08:42:11	0.0171567	0.134682	
08:42:26	0.0193001	0.128834	
08:42:41	0.0173903	0.116362	
08:42:56	0.0177604	0.131889	
08:43:11	0.0222774	0.132813	
08:43:26	0.0225883	0.142347	
08:43:41	0.0201433	0.137436	
08:43:56	0.0246992	0.149699	
08:44:11	0.0185482	0.125581	
08:44:26	0.0184623	0.141857	
08:44:41	0.0752694	0.71582	
08:44:56	0.0831025	0.788253	
08:45:11	0.0384349	0.358933	
08:45:26	0.036448	0.349403	
08:45:41	0.0353652	0.343608	
08:45:56	0.0371211	0.323563	
08:46:11	0.03723	0.314302	
08:46:26	0.0419141	0.308466	
08:46:41	0.037884	0.320996	
08:46:56	0.0394576	0.309658	
08:47:11	0.0406929	0.292468	
08:47:26	0.0395929	0.304152	
08:47:41	0.0382772	0.310674	
08:47:56	0.0332452	0.291499	
08:48:11	0.00590078	0.0556156	
08:48:26	0.0108968	0.0807943	
08:48:41	0.0115346	0.0822134	
08:48:56	0.0125841	0.0809919	
08:49:11	0.0139365	0.092527	
08:49:26	0.0112884	0.0998364	
08:49:41	0.0128542	0.100633	
08:49:56	0.014374	0.101073	
08:50:11	0.015267	0.108305	
08:50:26	0.0142123	0.106176	
08:50:41	0.0141167	0.11844	
08:50:56	0.0143957	0.119764	
08:51:11	0.0138411	0.113819	
08:51:26	0.0192813	0.115747	
08:51:41	0.0148718	0.113688	
08:51:56	0.0178482	0.118567	
08:52:11	0.0154335	0.117707	
08:52:26	0.0170393	0.120918	
08:52:41	0.0168008	0.134646	
08:52:56	0.0190113	0.120523	
08:53:11	0.0173274	0.120646	
08:53:26	0.0174752	0.133742	
08:53:41	0.0174172	0.132598	
08:53:56	0.0193218	0.128675	
