Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1	Annotations
02:00:11	0.0258355	0.124151	
02:00:26	0.0241871	0.128658	
02:00:41	0.025784	0.133383	
02:00:56	0.0265418	0.134214	
02:01:11	0.0250413	0.126088	
02:01:26	0.0242421	0.142079	
02:01:41	0.024032	0.129043	
02:01:56	0.0251308	0.143949	
02:02:11	0.0255828	0.128635	
02:02:26	0.0256481	0.151728	
02:02:41	0.0285383	0.131006	
02:02:56	0.0275545	0.131191	
02:03:11	0.0255387	0.14651	
02:03:26	0.0290374	0.145478	
02:03:41	0.0288439	0.139544	
02:03:56	0.0289319	0.137212	
02:04:11	0.0310832	0.154016	
02:04:26	0.0279631	0.147979	
02:04:41	0.199822	1.11496	
02:04:56	0.225487	1.25817	
02:05:11	0.133389	0.736079	
02:05:26	0.103509	0.551038	
02:05:41	0.0969907	0.513584	
02:05:56	0.0953985	0.488549	
02:06:11	0.0954783	0.476257	
02:06:26	0.0928701	0.488573	
02:06:42	0.0918096	0.464706	
02:06:56	0.0923126	0.441809	
02:07:11	0.0928177	0.441551	
02:07:26	0.0870516	0.448074	
02:07:41	0.088457	0.431226	
02:07:56	0.0878125	0.431744	
02:08:11	0.0723461	0.32767	
02:08:26	0.0208292	0.0953718	
02:08:41	0.0197154	0.0943672	
02:08:56	0.0223292	0.0928038	
02:09:11	0.0202487	0.107693	
02:09:26	0.0197559	0.104998	
02:09:41	0.0201425	0.114178	
02:09:56	0.0239733	0.105487	
02:10:11	0.0221574	0.120966	
02:10:26	0.0233239	0.118733	
02:10:41	0.0230108	0.122586	
02:10:56	0.0218115	0.138091	
02:11:11	0.0229672	0.130981	
02:11:26	0.0232827	0.122065	
02:11:41	0.0259583	0.122301	
02:11:56	0.0235905	0.127267	
02:12:11	0.0232697	0.125806	
02:12:26	0.0241395	0.106164	
02:12:41	0.028182	0.125939	
02:12:56	0.0245355	0.129711	
02:13:11	0.0241095	0.121097	
02:13:27	0.0256701	0.139209	
02:13:41	0.0261633	0.133804	
02:13:56	0.0278862	0.131592	
02:14:11	0.0257429	0.135554	
02:14:26	0.0277048	0.136314	
02:14:41	0.0252946	0.140589	
02:14:56	0.0260162	0.12863	
02:15:11	0.0298624	0.127256	
02:15:26	0.0275235	0.136093	
02:15:41	0.0270391	0.156592	
02:15:56	0.0272397	0.151739	
02:16:11	0.0906966	0.565598	
02:16:26	0.174082	1.17352	
02:16:41	0.172184	1.1582	
02:16:56	0.0851185	0.536772	
02:17:11	0.0828388	0.521011	
02:17:26	0.0767667	0.498852	
02:17:41	0.0794127	0.483446	
02:17:56	0.0804808	0.465423	
02:18:11	0.076716	0.457858	
02:18:26	0.0764407	0.455175	
02:18:41	0.0774224	0.445218	
02:18:57	0.0722509	0.438338	
02:19:11	0.0725823	0.44109	
02:19:26	0.0734652	0.431527	
02:19:41	0.0444791	0.229149	
02:19:56	0.0237547	0.103825	
02:20:10	0.0200426	0.0974044	
02:20:26	0.0184715	0.106382	
02:20:41	0.0178869	0.110307	
02:20:56	0.0222696	0.10226	
02:21:11	0.0169255	0.117587	
02:21:26	0.0207613	0.117154	
02:21:41	0.0232875	0.114204	
02:21:56	0.0254169	0.128871	
02:22:11	0.0210492	0.128385	
02:22:25	0.0246827	0.117437	
02:22:41	0.0209598	0.117232	
02:22:56	0.0275957	0.112912	
02:23:11	0.0265022	0.130723	
02:23:26	0.0234086	0.120372	
02:23:41	0.0259076	0.130379	
02:23:56	0.0263744	0.114188	
02:24:12	0.0232021	0.133241	
02:24:26	0.0235096	0.121519	
02:24:41	0.0258555	0.147791	
02:24:56	0.0265995	0.132921	
02:25:11	0.0266981	0.130462	
02:25:26	0.0248732	0.131032	
02:25:41	0.0240446	0.130463	
02:25:56	0.026726	0.146901	
02:26:11	0.0276147	0.143357	
02:26:26	0.0234813	0.144207	
02:26:41	0.024103	0.145664	
02:26:56	0.0268896	0.143978	
02:27:11	0.0289707	0.13958	
02:27:26	0.0286161	0.14023	
02:27:41	0.0438871	0.220848	
02:27:56	0.156819	1.03187	
02:28:11	0.171705	1.11283	
02:28:26	0.0830087	0.52076	
02:28:41	0.0811165	0.506905	
02:28:56	0.0799365	0.480341	
02:29:11	0.0808496	0.47168	
02:29:26	0.0780176	0.44446	
