Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1	Annotations
00:00:11	0.019611	0.109153	
00:00:26	0.0165799	0.102941	SPKA Start 
00:00:41	0.0173052	0.0985994	
00:00:56	0.0185505	0.119631	
00:01:11	0.0192417	0.113352	
00:01:26	0.0175737	0.114408	
00:01:41	0.0194032	0.106143	
00:01:56	0.0190191	0.112831	
00:02:11	0.0141244	0.108907	
00:02:25	0.0219549	0.10985	
00:02:41	0.0214929	0.125503	
00:02:56	-0.00087771	-0.0142719	
00:03:11	0.00276083	0.0338568	
00:03:26	0.00885283	0.0491197	
00:03:41	0.00946675	0.0613835	
00:03:56	0.00829945	0.0741477	
00:04:11	0.00982956	0.0702362	
00:04:26	0.0114696	0.0705789	
00:04:41	0.016164	0.0844048	
00:04:56	0.012134	0.083003	
00:05:11	0.0154926	0.0988337	
00:05:26	0.013064	0.0887377	
00:05:41	0.0134029	0.0878052	
00:05:56	0.0171512	0.100832	
00:06:11	0.0193301	0.100308	
00:06:26	0.0160452	0.107235	
00:06:41	0.0173114	0.0898638	
00:06:56	0.0178831	0.0957536	
00:07:11	0.0160936	0.09645	
00:07:26	0.0190285	0.096944	
00:07:41	0.0176114	0.107553	
00:07:56	0.0196725	0.105676	
00:08:11	0.0206005	0.105508	
00:08:26	0.0179187	0.109508	
00:08:41	0.0186644	0.0946583	
00:08:56	0.0179869	0.123311	
00:09:11	0.0185383	0.121413	
00:09:26	0.0198192	0.113998	
00:09:41	0.0180704	0.129926	
00:09:56	0.0205472	0.118144	
00:10:11	0.0202547	0.136442	
00:10:26	0.0215145	0.121257	
00:10:40	0.0231299	0.135834	
00:10:56	0.0969501	0.541281	
00:11:11	0.146363	0.816737	
00:11:26	0.098019	0.568308	
00:11:41	0.101567	0.543011	
00:11:56	0.0984484	0.53303	
00:12:11	0.0974309	0.523021	
00:12:26	0.0964337	0.516634	
00:12:41	0.0959113	0.502257	
00:12:56	0.0925341	0.490345	
00:13:11	0.0952361	0.488718	
00:13:26	0.0927985	0.482745	
00:13:41	0.0952797	0.48555	
00:13:56	0.093597	0.474578	
00:14:11	0.0111127	0.0566956	
00:14:26	0.0134815	0.0662059	
00:14:41	0.00903927	0.0521904	
00:14:56	0.0121827	0.05977	
00:15:11	0.012035	0.0650011	
00:15:26	0.0144839	0.0793845	
00:15:41	0.011827	0.0879717	
00:15:56	0.0145201	0.0814605	
00:16:11	0.0140199	0.0957215	
00:16:27	0.0166299	0.0990621	
00:16:41	0.0134669	0.0766365	
00:16:56	0.0158451	0.0937536	
00:17:11	0.0166194	0.0956858	
00:17:26	0.017969	0.105788	
00:17:41	0.019515	0.105107	
00:17:56	0.0165661	0.113058	
00:18:11	0.0180439	0.107106	
00:18:26	0.0181427	0.109501	
00:18:41	0.0166347	0.112103	
00:18:56	0.0217515	0.114965	
00:19:11	0.0166033	0.0981634	
00:19:26	0.0221883	0.106706	
00:19:41	0.0153082	0.109319	
00:19:56	0.0193073	0.125503	
00:20:11	0.017199	0.105439	
00:20:26	0.0203136	0.123087	
00:20:41	0.0212259	0.116532	
00:20:56	0.0194044	0.113277	
00:21:11	0.0212089	0.127094	
00:21:26	0.019187	0.123077	
00:21:42	0.024709	0.121645	
00:21:56	0.0624459	0.401478	
00:22:11	0.190949	1.30424	
00:22:26	0.18412	1.24202	
00:22:41	0.0839805	0.580423	
00:22:56	0.0858587	0.551149	
00:23:11	0.0828954	0.534761	
00:23:27	0.0793214	0.51298	
00:23:42	0.0808128	0.512239	
00:23:56	0.0752555	0.510791	
00:24:11	0.0807737	0.495816	
00:24:26	0.0765038	0.491591	
00:24:41	0.076568	0.485131	
00:24:56	0.0753246	0.481204	
00:25:11	0.077949	0.480366	
00:25:26	0.03725	0.187719	
00:25:41	0.0213263	0.114717	
00:25:56	0.0148959	0.0930957	
00:26:11	0.0177085	0.0937355	
00:26:26	0.0204969	0.109687	
00:26:41	0.017347	0.111814	
00:26:56	0.0189874	0.124945	
00:27:11	0.0193903	0.114268	
00:27:26	0.0187948	0.124298	
00:27:41	0.0208044	0.121659	
00:27:56	0.0221232	0.130196	
00:28:11	0.0226108	0.122122	
00:28:26	0.0208036	0.126788	
00:28:41	0.0239307	0.133805	
00:28:56	0.0193302	0.127691	
00:29:11	0.027879	0.126311	
00:29:26	0.0235947	0.134606	
00:29:41	0.0217702	0.145943	
00:29:56	0.0267301	0.122221	
00:30:11	0.0248119	0.125393	
00:30:26	0.0222956	0.131691	
00:30:41	0.0281958	0.135152	
00:30:56	0.0243116	0.132404	
00:31:11	0.0229974	0.134239	
00:31:26	0.0255414	0.135382	
00:31:41	0.0234243	0.138452	
00:31:56	0.0247789	0.135412	
00:32:10	0.0274759	0.137938	
00:32:26	0.0245055	0.141319	
00:32:41	0.0221584	0.144901	
00:32:56	0.0269661	0.148428	
00:33:11	0.0541284	0.338009	
00:33:26	0.150454	1.0671	
00:33:41	0.16126	1.14979	
00:33:56	0.0748833	0.497589	
00:34:11	0.0692936	0.465285	
00:34:26	0.0727571	0.451867	
00:34:41	0.0697485	0.44395	
00:34:56	0.0692442	0.437837	
00:35:11	0.0677149	0.427535	
00:35:26	0.069621	0.430276	
00:35:41	0.0665081	0.404596	
00:35:56	0.063939	0.422496	
00:36:11	0.0673119	0.40315	
00:36:26	0.0656444	0.394833	
00:36:41	0.0687295	0.419944	
00:36:56	0.0190867	0.0902337	
00:37:11	0.014591	0.0922348	
00:37:26	0.0140659	0.0826956	
00:37:41	0.0162115	0.103371	
00:37:57	0.0189287	0.114037	
00:38:11	0.0228895	0.111012	
00:38:27	0.0198086	0.11323	
00:38:41	0.0200141	0.112488	
00:38:56	0.0188595	0.122042	
00:39:11	0.0213691	0.118374	
00:39:26	0.0219638	0.128575	
00:39:41	0.0240245	0.119991	
00:39:56	0.0182878	0.121946	
00:40:11	0.0206967	0.120721	
00:40:26	0.0216767	0.127919	
00:40:41	0.0246081	0.125205	
00:40:56	0.0205499	0.12578	
00:41:11	0.0248406	0.124439	
00:41:26	0.0229897	0.127751	
00:41:41	0.0227277	0.121717	
00:41:56	0.0213984	0.127349	
00:42:12	0.0258054	0.133345	
00:42:26	0.0263396	0.13721	
00:42:41	0.0239572	0.123648	
00:42:56	0.0227979	0.131398	
00:43:11	0.0244012	0.141736	
00:43:26	0.0287508	0.139693	
00:43:41	0.0266571	0.148331	
00:43:56	0.0244363	0.141439	
00:44:11	0.0226243	0.127961	
00:44:26	0.0265858	0.148036	
00:44:41	0.0547611	0.346927	
00:44:56	0.137079	1.00141	
00:45:11	0.146395	1.07085	
00:45:26	0.0638294	0.473932	
00:45:41	0.0632545	0.453825	
00:45:56	0.063859	0.431015	
00:46:11	0.0629792	0.422732	
00:46:26	0.0660262	0.412013	
00:46:41	0.0632623	0.419685	
00:46:56	0.0639578	0.38321	
00:47:11	0.0626051	0.400478	
00:47:26	0.0623395	0.382158	
00:47:41	0.0603025	0.390413	
00:47:56	0.0631546	0.387275	
00:48:11	0.0214086	0.10916	
00:48:26	0.0148823	0.106699	
00:48:41	0.0149911	0.0922496	
00:48:56	0.0174934	0.0909999	
00:49:12	0.0192485	0.105066	
00:49:26	0.0160078	0.101759	
00:49:41	0.0183644	0.120289	
00:49:56	0.0198331	0.0975457	
00:50:11	0.0180718	0.110866	
00:50:26	0.0205221	0.121587	
00:50:41	0.0196055	0.124629	
00:50:56	0.022686	0.127718	
00:51:10	0.0198589	0.126547	
00:51:26	0.0211973	0.121366	
00:51:41	0.0226163	0.114577	
00:51:56	0.0219684	0.128056	
00:52:11	0.0256532	0.122277	
00:52:27	0.021576	0.132952	
00:52:41	0.0198787	0.125987	
00:52:56	0.0257003	0.133765	
00:53:11	0.0195495	0.115286	
00:53:26	0.0264587	0.123598	
00:53:41	0.0233164	0.113137	
00:53:56	0.0232105	0.121968	
00:54:11	0.0225631	0.133789	
00:54:26	0.0250423	0.131961	
00:54:41	0.024785	0.140684	
00:54:56	0.0252314	0.133814	
00:55:11	0.0236886	0.141965	
00:55:26	0.0270823	0.144355	
00:55:41	0.0249172	0.144159	
00:55:56	0.0397435	0.265744	
00:56:11	0.114032	0.907808	
00:56:26	0.12644	0.981422	
00:56:41	0.0538611	0.415136	
00:56:56	0.0543327	0.399533	
00:57:11	0.0566169	0.388445	
00:57:26	0.0544289	0.386041	
00:57:41	0.0546088	0.38526	
00:57:56	0.0500738	0.364065	
00:58:11	0.051269	0.352908	
00:58:26	0.0545622	0.359806	
00:58:41	0.0551859	0.363341	
00:58:56	0.0527659	0.361284	
00:59:11	0.055496	0.351618	
00:59:27	0.0447283	0.29081	
00:59:42	0.0140642	0.0675441	
00:59:56	0.014105	0.0922103	
01:00:11	0.0135696	0.0971696	
01:00:26	0.0177258	0.106611	
01:00:41	0.0165581	0.113489	
01:00:56	0.0171009	0.0988673	
01:01:11	0.0190065	0.101536	
01:01:26	0.0182159	0.116542	
01:01:41	0.021321	0.109592	
01:01:56	0.02008	0.115458	
01:02:11	0.0228143	0.114796	
01:02:26	0.0195785	0.113526	
01:02:41	0.0194783	0.107251	
01:02:56	0.0220093	0.114189	
01:03:11	0.0199307	0.106226	
01:03:26	0.0184642	0.126203	
01:03:41	0.0198311	0.123823	
01:03:56	0.0214784	0.118592	
01:04:11	0.0223731	0.119953	
01:04:26	0.021491	0.124187	
01:04:41	0.0215626	0.113609	
01:04:56	0.0235326	0.11373	
01:05:10	0.0217793	0.116429	
01:05:26	0.018376	0.119389	
01:05:41	0.023241	0.123116	
01:05:56	0.025324	0.123956	
01:06:11	0.0263912	0.129762	
01:06:26	0.0271071	0.125961	
01:06:41	0.0262434	0.126132	
01:06:56	0.0244266	0.123342	
01:07:11	0.0264797	0.14221	
01:07:26	0.0543183	0.373894	
01:07:41	0.101824	0.841954	
01:07:56	0.102294	0.868293	
01:08:11	0.0487241	0.375001	
01:08:26	0.0462835	0.37678	
01:08:41	0.0483432	0.355611	
01:08:56	0.0481347	0.356484	
01:09:11	0.0509231	0.330392	
01:09:26	0.0496347	0.34288	
01:09:41	0.0487556	0.337016	
01:09:56	0.0496333	0.338333	
01:10:11	0.0498002	0.329604	
01:10:26	0.0465734	0.329863	
01:10:41	0.0477229	0.325262	
01:10:56	0.0367141	0.242724	
01:11:11	0.0110779	0.0829737	
01:11:26	0.013179	0.0928078	
01:11:41	0.0118086	0.095378	
01:11:56	0.016868	0.0932484	
01:12:11	0.0172218	0.095189	
01:12:26	0.0166839	0.0981996	
01:12:41	0.0194673	0.108904	
01:12:56	0.0177783	0.115734	
01:13:12	0.0170262	0.110221	
01:13:26	0.0197447	0.105027	
01:13:41	0.0206467	0.116228	
01:13:56	0.0175646	0.112223	
01:14:11	0.0200521	0.113407	
01:14:26	0.0177756	0.122487	
01:14:41	0.0183503	0.110402	
01:14:56	0.0218166	0.118297	
01:15:11	0.0172592	0.117552	
01:15:25	0.0225418	0.117099	
01:15:41	0.0211861	0.124896	
01:15:56	0.0214113	0.131379	
01:16:11	0.0247473	0.111498	
01:16:26	0.0207013	0.126181	
01:16:41	0.0247444	0.125955	
01:16:56	0.0226871	0.119549	
01:17:11	0.0216026	0.123764	
01:17:26	0.0241709	0.125835	
01:17:41	0.0228766	0.12675	
01:17:56	0.0217743	0.13409	
01:18:11	0.0231063	0.136503	
01:18:26	0.0214777	0.125705	
01:18:41	0.0225454	0.14677	
01:18:56	0.0264997	0.166691	
01:19:11	0.0810447	0.736456	
01:19:26	0.0792769	0.70914	
01:19:41	0.0482721	0.378213	
01:19:56	0.0437365	0.354033	
01:20:11	0.0439017	0.350854	
01:20:26	0.0462949	0.347802	
01:20:42	0.0454074	0.331871	
01:20:57	0.0443318	0.321866	
01:21:11	0.0468617	0.330062	
01:21:26	0.0438928	0.32236	
01:21:41	0.0456998	0.315327	
01:21:56	0.0411708	0.310499	
01:22:11	0.0431607	0.328236	
01:22:26	0.00713161	0.0191785	
01:22:41	0.0137192	0.0555691	
01:22:56	0.0129262	0.0642217	
01:23:10	0.0101071	0.0689342	
01:23:26	0.0102947	0.0622636	
01:23:41	0.0135673	0.0799148	
01:23:56	0.0137128	0.0910275	
01:24:11	0.015356	0.0926962	
01:24:26	0.0167571	0.0930782	
01:24:41	0.015102	0.104167	
01:24:56	0.0133441	0.0984894	
01:25:11	0.0194546	0.091811	
01:25:26	0.0205652	0.111853	
01:25:41	0.0193592	0.115725	
01:25:56	0.0233851	0.107749	
01:26:11	0.021827	0.10683	
01:26:26	0.0228091	0.127013	
01:26:41	0.0228072	0.121939	
01:26:56	0.0243679	0.126334	
01:27:11	0.0205286	0.125764	
01:27:26	0.0225621	0.120263	
01:27:41	0.018477	0.125533	
01:27:56	0.025194	0.123668	
01:28:11	0.0246677	0.13779	
01:28:27	0.0245186	0.132488	
01:28:41	0.0271118	0.133371	
01:28:56	0.0239346	0.142002	
01:29:11	0.0241848	0.146861	
01:29:26	0.0262735	0.141615	
01:29:41	0.0249481	0.132088	
01:29:56	0.0245401	0.140808	
01:30:11	0.0531725	0.507626	
01:30:26	0.0651022	0.666645	
01:30:41	0.0546246	0.534121	
01:30:56	0.038995	0.309916	
01:31:11	0.0340319	0.293742	
01:31:26	0.034026	0.301529	
01:31:41	0.0344744	0.288353	
01:31:56	0.033578	0.282805	
01:32:11	0.0370982	0.275366	
01:32:26	0.0377849	0.272861	
01:32:41	0.0366672	0.267704	
01:32:56	0.0357403	0.260807	
01:33:11	0.0366408	0.278694	
01:33:26	0.0349439	0.273368	
01:33:41	0.00981303	0.0543544	
01:33:56	0.0109111	0.0639288	
01:34:12	0.0124478	0.0792504	
01:34:26	0.0119276	0.0855863	
01:34:41	0.0124368	0.0851044	
01:34:56	0.0147196	0.0798748	
01:35:11	0.0134491	0.0878399	
01:35:26	0.0157509	0.0950194	
01:35:41	0.015891	0.0954567	
01:35:55	0.0169875	0.0978863	
01:36:11	0.0190491	0.101223	
01:36:26	0.0168599	0.113002	
01:36:41	0.0186931	0.107962	
01:36:56	0.0202528	0.108954	
01:37:11	0.0201122	0.0980656	
01:37:26	0.0163797	0.11308	
01:37:41	0.0186054	0.110491	
01:37:56	0.0193706	0.116536	
01:38:11	0.0211125	0.100149	
01:38:26	0.0224863	0.127003	
01:38:41	0.0223641	0.119888	
01:38:56	0.0179324	0.114174	
01:39:11	0.0237721	0.119455	
01:39:26	0.0225262	0.124191	
01:39:41	0.02237	0.112674	
01:39:56	0.0263324	0.111036	
01:40:11	0.0243764	0.12008	
01:40:26	0.0215022	0.117895	
01:40:41	0.0211375	0.124725	
01:40:56	0.0226516	0.119926	
01:41:11	0.0234627	0.127595	
01:41:26	0.0222684	0.129131	
01:41:41	0.0358569	0.345372	
01:41:56	0.0473905	0.614268	
01:42:11	0.0449561	0.565687	
01:42:26	0.0261694	0.274352	
01:42:41	0.0266023	0.265993	
01:42:55	0.0296286	0.264808	
01:43:11	0.0281261	0.26173	
01:43:26	0.0276653	0.254795	
01:43:41	0.0286437	0.252692	
01:43:56	0.0296386	0.248704	
01:44:11	0.028991	0.239754	
01:44:26	0.0296272	0.241979	
01:44:41	0.0292187	0.243611	
01:44:56	0.0307687	0.252386	
01:45:11	0.00537635	0.0551373	
01:45:26	0.0127567	0.0803612	
01:45:41	0.0124586	0.0861762	
01:45:56	0.0119735	0.0836432	
01:46:11	0.015209	0.0960805	
01:46:26	0.0145063	0.0895258	
01:46:41	0.0167859	0.101315	
01:46:56	0.0163384	0.101152	
01:47:12	0.0182015	0.104287	
01:47:26	0.0193954	0.0994961	
01:47:42	0.0194202	0.109837	
01:47:56	0.0199196	0.110213	
01:48:11	0.0185197	0.101583	
01:48:26	0.0183096	0.106514	
01:48:41	0.0219649	0.114803	
01:48:56	0.0178167	0.127694	
01:49:11	0.0224472	0.116364	
01:49:26	0.0220742	0.115572	
01:49:41	0.0193414	0.116298	
01:49:56	0.0208032	0.127537	
01:50:11	0.0233357	0.123282	
01:50:26	0.0220776	0.123953	
01:50:41	0.0239858	0.121464	
01:50:56	0.0229067	0.128115	
01:51:11	0.0228996	0.130601	
01:51:26	0.0266202	0.126187	
01:51:41	0.0194301	0.131117	
01:51:56	0.0242037	0.129095	
01:52:11	0.022317	0.14057	
01:52:26	0.0248896	0.13342	
01:52:41	0.0256428	0.137333	
01:52:56	0.0216896	0.145855	
01:53:11	0.204816	1.14294	
01:53:26	0.225636	1.27477	
01:53:42	0.104229	0.576602	
01:53:56	0.101059	0.527121	
01:54:11	0.099142	0.518119	
01:54:26	0.0971477	0.506944	
01:54:41	0.0922289	0.475327	
01:54:56	0.0941611	0.477123	
01:55:11	0.091209	0.438465	
01:55:26	0.0883227	0.446863	
01:55:41	0.0930875	0.443669	
01:55:56	0.087682	0.438138	
01:56:11	0.0878554	0.424373	
01:56:26	0.0806031	0.369038	
01:56:41	0.0187511	0.0804904	
01:56:56	0.0189475	0.0975405	
01:57:11	0.0218992	0.10493	
01:57:26	0.0210647	0.0972841	
01:57:41	0.0187658	0.0967707	
01:57:56	0.0179412	0.101708	
01:58:11	0.020086	0.113944	
01:58:26	0.0222186	0.109525	
01:58:41	0.0216525	0.113825	
01:58:56	0.0243733	0.122487	
01:59:11	0.0237783	0.115858	
01:59:26	0.0223532	0.122781	
01:59:41	0.0248601	0.124213	
01:59:56	0.0257949	0.125375	
02:00:11	0.0258355	0.124151	
02:00:26	0.0241871	0.128658	
02:00:41	0.025784	0.133383	
02:00:56	0.0265418	0.134214	
02:01:11	0.0250413	0.126088	
02:01:26	0.0242421	0.142079	
02:01:41	0.024032	0.129043	
02:01:56	0.0251308	0.143949	
02:02:11	0.0255828	0.128635	
02:02:26	0.0256481	0.151728	
02:02:41	0.0285383	0.131006	
02:02:56	0.0275545	0.131191	
02:03:11	0.0255387	0.14651	
02:03:26	0.0290374	0.145478	
02:03:41	0.0288439	0.139544	
02:03:56	0.0289319	0.137212	
02:04:11	0.0310832	0.154016	
02:04:26	0.0279631	0.147979	
02:04:41	0.199822	1.11496	
02:04:56	0.225487	1.25817	
02:05:11	0.133389	0.736079	
02:05:26	0.103509	0.551038	
02:05:41	0.0969907	0.513584	
02:05:56	0.0953985	0.488549	
02:06:11	0.0954783	0.476257	
02:06:26	0.0928701	0.488573	
02:06:42	0.0918096	0.464706	
02:06:56	0.0923126	0.441809	
02:07:11	0.0928177	0.441551	
02:07:26	0.0870516	0.448074	
02:07:41	0.088457	0.431226	
02:07:56	0.0878125	0.431744	
02:08:11	0.0723461	0.32767	
02:08:26	0.0208292	0.0953718	
02:08:41	0.0197154	0.0943672	
02:08:56	0.0223292	0.0928038	
02:09:11	0.0202487	0.107693	
02:09:26	0.0197559	0.104998	
02:09:41	0.0201425	0.114178	
02:09:56	0.0239733	0.105487	
02:10:11	0.0221574	0.120966	
02:10:26	0.0233239	0.118733	
02:10:41	0.0230108	0.122586	
02:10:56	0.0218115	0.138091	
02:11:11	0.0229672	0.130981	
02:11:26	0.0232827	0.122065	
02:11:41	0.0259583	0.122301	
02:11:56	0.0235905	0.127267	
02:12:11	0.0232697	0.125806	
02:12:26	0.0241395	0.106164	
02:12:41	0.028182	0.125939	
02:12:56	0.0245355	0.129711	
02:13:11	0.0241095	0.121097	
02:13:27	0.0256701	0.139209	
02:13:41	0.0261633	0.133804	
02:13:56	0.0278862	0.131592	
02:14:11	0.0257429	0.135554	
02:14:26	0.0277048	0.136314	
02:14:41	0.0252946	0.140589	
02:14:56	0.0260162	0.12863	
02:15:11	0.0298624	0.127256	
02:15:26	0.0275235	0.136093	
02:15:41	0.0270391	0.156592	
02:15:56	0.0272397	0.151739	
02:16:11	0.0906966	0.565598	
02:16:26	0.174082	1.17352	
02:16:41	0.172184	1.1582	
02:16:56	0.0851185	0.536772	
02:17:11	0.0828388	0.521011	
