Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1	Annotations
00:15:11	-0.00428157	0.00942936	
00:15:26	-0.00661564	0.026266	
00:15:41	0.000563965	0.034415	
00:15:56	-0.00472222	0.0380026	
00:16:11	-0.00124902	0.0372387	
00:16:26	-0.000866167	0.0437595	
00:16:41	0.00143888	0.0382559	
00:16:56	-0.00380579	0.0488638	
00:17:11	0.00382789	0.0571028	
00:17:26	0.000385399	0.0510003	
00:17:41	-0.00332044	0.0572568	
00:17:56	0.00267303	0.0617729	
00:18:11	0.00138006	0.0666708	
00:18:26	0.00102409	0.0624502	
00:18:41	0.000819617	0.0608669	
00:18:56	0.000435969	0.0586166	
00:19:11	-0.000952016	0.0718239	
00:19:26	0.0019372	0.0558046	
00:19:41	0.00232242	0.0678396	
00:19:56	0.00178801	0.0825137	
00:20:11	0.00421026	0.0625797	
00:20:26	0.00267815	0.0700284	
00:20:41	0.000908508	0.0808446	
00:20:56	0.00239203	0.0747195	
00:21:10	0.00262378	0.0701491	
00:21:26	0.00370451	0.0781091	
00:21:41	0.00473727	0.088083	
00:21:56	0.00348904	0.0782018	
00:22:11	0.00973516	0.12601	
00:22:26	0.0889191	0.519368	
00:22:41	0.159925	0.887026	
00:22:56	0.0997458	0.55569	
00:23:11	0.0936562	0.549319	
00:23:26	0.0956698	0.525156	
00:23:41	0.0937568	0.500189	
00:23:56	0.0964737	0.495805	
00:24:11	0.0952814	0.485166	
00:24:26	0.0910537	0.469547	
00:24:41	0.0895415	0.460724	
00:24:56	0.0886529	0.452363	
00:25:11	0.0876858	0.445043	
00:25:26	0.0855776	0.446549	
00:25:41	0.00684761	0.0410044	
00:25:56	6.28827e-05	0.0174982	
00:26:11	-0.00120544	0.021036	
00:26:26	-0.0027702	0.0286754	
00:26:41	-0.00303924	0.0267656	
00:26:56	-0.00382985	0.0334003	
00:27:11	-0.00336007	0.0533957	
00:27:26	-0.000934883	0.0541457	
00:27:40	-0.00203341	0.0474999	
00:27:56	-0.00182887	0.0494344	
00:28:11	-0.00045184	0.0551466	
